id,name,shape,a0_deg,a1_deg,r0_m,r1_m,cx_m,cy_m,character,wealth,tag,source_ref
crescent_frame,The crescent (its geometry),frame,195,-15,105,175,240,20,the crescent's centre (cx_m cy_m) its lagoon edge (r0_m) and its wall (r1_m) from the western horn (a0_deg) over the north to the eastern horn (a1_deg); the citadel bulges to 205 m and the coast runs at x = 425 m,civic,INVENTED,"D-025; docs/city-of-the-moon.md §1; tools/city_layout.py"
moon_gate_quarter,The Moon Gate & the Caravan Yard,arc,195,170,105,175,,,the western horn where the land road arrives,modest,INVENTED,"D-025; docs/city-of-the-moon.md §2.1"
crescent_market,The Crescent Market,arc,168,122,105,131,,,the inner arc facing the lagoon: awnings noise and everything for sale,modest,INVENTED,"D-025; docs/city-of-the-moon.md §2.2"
smiths_lane,The smiths' lane,arc,170,146,149,175,,,the outer arc behind the market: forges kilns and looms,modest,INVENTED,"D-025; docs/city-of-the-moon.md §2.2; world-art-plan §4.2"
sacred_mound,The Sacred Mound,arc,120,60,105,175,,,the crescent's raised belly: the gods' ground,sacred,INVENTED,"D-025; docs/city-of-the-moon.md §2.3"
house_of_tablets,The House of Tablets,arc,58,32,105,175,,,the rise toward the lighthouse: the city's scholarship,comfortable,INVENTED,"D-025; docs/city-of-the-moon.md §2.4"
lighthouse_horn,The Lighthouse Horn,arc,30,-15,149,175,,,the eastern horn pointing out to sea,modest,INVENTED,"D-025; docs/city-of-the-moon.md §2.5"
lagoon_wharf,The Lagoon Wharf,arc,30,-15,105,131,,,the water's edge along the inner curve,comfortable,INVENTED,"D-025; docs/city-of-the-moon.md §2.6"
reed_quarter,The Reed Quarter,cluster,,,,,165,-45,houses of reed on stilts and islands where the river enters the lagoon,poor,INVENTED,"D-025; docs/city-of-the-moon.md §2.7"
prophets_court,The Prophet's Court,arc,144,122,149,205,,,the old governor's palace on the crescent's back: the rebellion's seat,elite,INVENTED,"D-025; docs/city-of-the-moon.md §2.8; notes L52"
newcomers_terraces,The Newcomers' Terraces,cluster,,,,,120,215,the eastern migrants' camp and the foreigners' lane outside the north wall,poor,INVENTED,"D-025; docs/city-of-the-moon.md §2.9; notes L21"
garden_of_tombs,The Garden of Tombs,cluster,,,,,40,-110,the riverside necropolis and the downwind trades,poor,INVENTED,"D-025; docs/city-of-the-moon.md §2.9"
beyond_the_gate,Beyond the Moon Gate,cluster,,,,,-150,0,fields and pasture west of the city,poor,INVENTED,"D-025; places.csv fields_beyond_the_gate_place"
