id,role,skills,wage_item,wage_qty,per_hours,min_skill,note,tag,source_ref
work_field_hand,field hand,farming,grain,1,1,0,harvest and weeding for a grain ration,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'field hand'
work_herdsman,herdsman,herding;survival,grain,1,2,0,a day with the flocks for a grain ration,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'herdsman'
work_fisherman,fisherman,fishing;sailing,fish,1,3,0,hauling nets for a share of the catch,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'fisherman'
work_dockworker,dockworker,sailing,silver,1,1,0,loading outbound cargo at the wharf,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'dockworker'
work_lighthouse_keeper,lighthouse keeper,sailing;survival,silver,1,2,0,carrying fuel up the Great Lighthouse,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'lighthouse keeper'
work_water_carrier,water-carrier,survival,silver,1,2,0,drawing and carrying water,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'water-carrier'
work_watchman,watchman,spear;shield,silver,1,1,0,standing a watch for the city,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'watchman'
work_gatekeeper,gatekeeper,bow_and_sling;spear,silver,1,1,0,a shift on the gate,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'gatekeeper'
work_baker,baker,cooking,bread,1,3,0,firing the oven and kneading for a loaf,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'baker'
work_miller,miller,cooking,barley_flour,1,2,0,turning the quern for a share of the flour,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'miller'
work_cook_shop_keeper,cook-shop keeper,cooking,bread,1,3,0,tending the noon pots for a meal,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'cook-shop keeper'
work_brewer,brewer,brewing,beer,1,3,0,mashing and stirring for a jar of beer,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'brewer'
work_tavern_keeper,tavern keeper,persuasion;brewing,beer,1,3,0,serving the evening crowd,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'tavern keeper'
work_craftsman,craftsman,pottery;weaving,silver,1,1,0,a helper's shift in the workshop,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'craftsman'
work_market_trader,market trader,appraisal;bargaining,silver,1,1,0,minding a stall and weighing silver,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'market trader'
work_scribe,scribe,scribal_arts;reckoning,silver,2,1,20,copying tallies in the tablet house (must already read),INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'scribe'
work_priest_of_the_moon,priest of the moon,rites,bread,1,3,0,"temple service: sweeping the court, carrying offerings; paid in temple rations",INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'priest of the moon'
work_priest_of_the_sun,priest of the sun,rites;divination,bread,1,3,0,temple service at the sun temple; paid in temple rations,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'priest of the sun'
work_household,household,farming;herding;cooking,grain,1,2,0,household chores for board,INVENTED,INVENTED (W4-A; D-018; D-021) — rpg-systems §6 (rations as wages; mechanics.md row 28); mechanics.md row 21 (skills grow by use); schedules.csv role 'household'
