id,name,role,city,faction,tag,source_ref,shift
law_giver,The great Law Giver,founder of the Empire; the player's previous incarnation (implied),city_of_jewels,the_empire,CANON,wb §4.1;§5; notes L15;L28;L42
the_prophet,The enigmatic Prophet,leader of the rebellious alliance; the seer from Ur; the mysterious sage of the swamps,city_of_the_moon,neo_sumerian_rebellion,CANON,wb §4.2;§5; notes L19;L52;L104
the_warchief,The mighty warchief,ruler of the City of the Warrior Spirit,city_of_the_warrior_spirit,eastern_barbarian_alliance,CANON,wb §5; notes L56 (name OPEN)
ur_utu_gatekeeper_dawn,Ur-Utu,gatekeeper,city_of_the_moon,,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_utu (A); role per schedules.csv gates_open_at_dawn; the street's dawn gatekeeper,dawn
sin_iddinam_gatekeeper_dusk,Sin-iddinam,gatekeeper,city_of_the_moon,,INVENTED,INVENTED (D-018); name db/canon/names.csv:sin_iddinam (A); role per schedules.csv gates_close_at_dusk; the street's dusk gatekeeper,dusk
sin_eribam_watchman,Sin-eribam,watchman,city_of_the_moon,,INVENTED,INVENTED (D-018); name db/canon/names.csv:sin_eribam (A); role per schedules.csv watchmen_night_patrol,night_patrol
iddin_sin_watchman,Iddin-Sin,watchman,city_of_the_moon,,INVENTED,INVENTED (D-018); name db/canon/names.csv:iddin_sin (A); role per schedules.csv watchmen_night_patrol,night_patrol
ishme_dagan_watchman,Ishme-Dagan,watchman,city_of_the_moon,,INVENTED,INVENTED (D-018); name db/canon/names.csv:ishme_dagan (A); role per schedules.csv deep_watch,deep
ur_shara_baker,Ur-Shara,baker,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_shara (A); role per schedules.csv baker_fires_the_oven; owns places.csv bakery_place;bakers_house_place
shesh_kalla_miller,Shesh-kalla,miller,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:shesh_kalla (A); role per schedules.csv miller_turns_the_quern; owns places.csv millers_house_place
ur_lisi_brewer,Ur-Lisi,brewer,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_lisi (A); role per schedules.csv brewer_mashes_the_malt; owns places.csv brewery_tavern_place
ur_enlil_tavern_keeper,Ur-Enlil,tavern keeper,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_enlil (A); role per schedules.csv tavern_opens_at_dusk; works places.csv brewery_tavern_place
lu_nanna_scribe,Lu-Nanna,scribe,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:lu_nanna (A); role per schedules.csv scribes_open_the_tablet_house; owns places.csv scribes_house_place
lu_dingira_priest_moon,Lu-dingira,priest of the moon,city_of_the_moon,,INVENTED,INVENTED (D-018); name db/canon/names.csv:lu_dingira (A); role per schedules.csv moon_temple_evening_rite; works places.csv temple_front_place; grounded in buildings.csv temple_of_sun_and_moon (CANON)
enmenanna_priestess_moon,Enmenanna,priest of the moon,city_of_the_moon,,INVENTED,"INVENTED (D-018); name db/canon/names.csv:enmenanna (A, attested en-priestess of Nanna); works places.csv temple_front_place, owns places.csv priestess_house_place; the debtor priestess of quests.csv the_priestess_debt (a priestess of the temple owes what she cannot be seen chasing)"
shamash_hazir_cookshop,Shamash-hazir,cook-shop keeper,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:shamash_hazir (A); role per schedules.csv cookshops_noon_meal; works places.csv cookshop_place
ea_nasir_grain_trader,Ea-nasir,market trader,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:ea_nasir (A); role per schedules.csv market_stalls_set_out; works/owns places.csv stall_grain_place; the grain merchant of quests.csv the_priestess_debt who laughs at temple marks
waqurtum_salt_oil_trader,Waqurtum,market trader,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:waqurtum (A); role per schedules.csv market_peaks_in_the_morning; owns places.csv stall_salt_oil_place
baranamtarra_pottery_trader,Baranamtarra,market trader,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:baranamtarra (A); role per schedules.csv market_peaks_in_the_morning; owns places.csv stall_pottery_place
iltani_cloth_trader,Iltani,market trader,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:iltani (A); role per schedules.csv market_peaks_in_the_morning; owns places.csv stall_cloth_place
matatum_produce_trader,Matatum,market trader,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:matatum (A); role per schedules.csv market_stalls_set_out; owns places.csv stall_produce_place
nammahani_potter,Nammahani,craftsman,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:nammahani (A); role per schedules.csv workshops_full_work; owns places.csv potters_house_place
kunshiatum_weaver,Kunshiatum,craftsman,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:kunshiatum (A); role per schedules.csv workshops_full_work; owns places.csv weavers_house_place
geme_nanna_water_carrier,Geme-Nanna,water-carrier,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:geme_nanna (A); role per schedules.csv water_carriers_draw; works places.csv street_well_place
geme_shara_water_carrier,Geme-Shara,water-carrier,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:geme_shara (A); role per schedules.csv water_carrier_rains_short_draw; works places.csv street_well_place,rains_shift
huzalatum_household_elder,Huzalatum,household,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:huzalatum (A); role per schedules.csv evening_meal_and_lamps; owns places.csv elder_house_1_place
amat_shamash_household_elder,Amat-Shamash,household,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:amat_shamash (A); role per schedules.csv evening_meal_and_lamps; owns places.csv elder_house_2_place
beltani_household,Beltani,household,city_of_the_moon,southern_city_states_alliance,INVENTED,"INVENTED (D-018); name db/canon/names.csv:beltani (A); role per schedules.csv evening_meal_and_lamps; the baker's wife, lives at places.csv bakers_house_place"
erishti_aya_household,Erishti-Aya,household,city_of_the_moon,southern_city_states_alliance,INVENTED,"INVENTED (D-018); name db/canon/names.csv:erishti_aya (A); role per schedules.csv evening_meal_and_lamps; the miller's daughter, lives at places.csv millers_house_place"
lamassani_household,Lamassani,household,city_of_the_moon,southern_city_states_alliance,INVENTED,"INVENTED (D-018); name db/canon/names.csv:lamassani (A); role per schedules.csv evening_meal_and_lamps; the weaver's husband, lives at places.csv weavers_house_place"
kubatum_household,Kubatum,household,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:kubatum (A); role per schedules.csv evening_meal_and_lamps; elder kin at places.csv elder_house_1_place
ishtar_ummi_household,Ishtar-ummi,household,city_of_the_moon,southern_city_states_alliance,INVENTED,INVENTED (D-018); name db/canon/names.csv:ishtar_ummi (A); role per schedules.csv evening_meal_and_lamps; child at places.csv elder_house_2_place
