id,name,faction,role,weapon,shield,armour,skill,morale,flee_at,surrender_at,favoured_zone,description,tag,source_ref
retributors_paladin,Paladin of the Retributors of Utu,retributors_of_utu,paladin,tin_bronze_sickle_sword,tower_shield,copper_helmet;quilted_linen_tunic;copper_scale_coat;leather_leg_wraps,55,85,10,0,torso,"Sworn to the sun's justice: heavy bronze, a wall of shield, and no surrender — they hold until the last and fall back only when nearly dead.",INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv retributors_of_utu (the paladin guild); ledger docs/proposals/invented-ledger-combat.md #5"
eastern_raider,Eastern raider,eastern_barbarian_alliance,,arsenical_bronze_axe,round_hide_shield,leather_cap;leather_leg_wraps,40,55,40,20,head,"Hit and run: the axe at the head, and away over the hills the moment the fight turns.",INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv eastern_barbarian_alliance (the raiders of the east); ledger docs/proposals/invented-ledger-combat.md #5"
barbarian_warrior,Barbarian warrior,the_barbarians,,copper_spear,round_hide_shield,leather_cap,45,65,30,15,torso,"The warrior people's spear and hide shield; proud, slow to break, quick to take a ransom.",INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv the_barbarians; ledger docs/proposals/invented-ledger-combat.md #5"
suti_archer,Suti bowman,suti,,composite_bow,,leather_cap,45,45,50,25,torso,"The Suti who reign alone in the South fight as bowmen: they shoot from a distance, do not close, and scatter when pressed.",INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv suti (wb §7; the Sutû bowmen of the Old Babylonian letters as the model); ledger docs/proposals/invented-ledger-combat.md #5"
imperial_spearman,Spearman of the Empire,the_empire,,copper_spear,tower_shield,copper_helmet;studded_leather_cloak,45,70,25,15,torso,"The Empire's phalanx: spear levelled over the great shield, helmeted in copper.",INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv the_empire; the phalanx of the Stele of the Vultures (A) as the model; ledger docs/proposals/invented-ledger-combat.md #5"
rebel_slinger,Slinger of the southern rebellion,neo_sumerian_rebellion,,sling,,leather_cap;quilted_linen_tunic,40,65,35,20,head,The marsh folk's sling: stones at the head from behind the reeds.,INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv neo_sumerian_rebellion; ledger docs/proposals/invented-ledger-combat.md #5"
southern_militia,Militiaman of the southern cities,southern_city_states_alliance,,copper_mace,reed_wicker_shield,leather_cap,35,55,35,20,head,Citizens called to the walls: mace and woven shield.,INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv southern_city_states_alliance; ledger docs/proposals/invented-ledger-combat.md #5"
serpent_zealot,Zealot of the Brotherhood,brotherhood_of_the_serpent,,copper_dagger,,quilted_linen_tunic,45,75,20,0,torso,"The hidden cult's knife: close, quiet, and never taken alive.",INVENTED,"INVENTED (W4-B; D-018, D-021): factions.csv brotherhood_of_the_serpent (the mysterious cult); ledger docs/proposals/invented-ledger-combat.md #5"
city_watchman,Watchman of the gate,,watchman,copper_spear,tower_shield,copper_helmet;studded_leather_cloak,45,65,25,10,legs,The gate watch: spear low at the legs to bring a runner down alive for the hearing.,INVENTED,"INVENTED (W4-B; D-018, D-021): people.csv watchmen; the watch of city-life §3.1 (mechanics.md row 12); ledger docs/proposals/invented-ledger-combat.md #5"
drought_bandit,Drought bandit,,bandit,flint_dagger,,leather_cap,30,40,45,30,torso,Hungry men turned robbers by the failing rains: a flint knife and no stomach for a long fight.,INVENTED,"INVENTED (W4-B; D-018, D-021): the drought raiders of game-design §3 (bandits and raiders of the drought); role 'bandit' is the W4-C seam; ledger docs/proposals/invented-ledger-combat.md #5"
commoner,Common townsfolk,,,,,,15,35,50,30,,Anyone who never trained for a fight.,INVENTED,INVENTED (W4-B; D-018): the default style; ledger docs/proposals/invented-ledger-combat.md #5
