Name,name,group,attribute,grows_by,tag,source_ref
mace_and_axe,Mace and axe,arms,strength,verb:combat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the mace-head and the bronze axe of the chariot age (wb §1 the War Age; items.csv copper_ingots/tin)"
spear,Spear,arms,agility,verb:combat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the watchman's weapon (people.csv watchmen)"
dagger,Dagger,arms,agility,verb:combat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the bronze dagger carried in the city (customs: weapons)"
bow_and_sling,Bow and sling,arms,perception,verb:combat;verb:hunt,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the gatekeeper's bow on the wall; the herdsman's sling"
shield,Shield,arms,endurance,verb:combat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); the body-shield of the city levy (mechanics.md row 30)"
wrestling,Wrestling,arms,strength,verb:combat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); belt-wrestling, attested in Sumerian art and the Gilgamesh cycle"
cooking,Cooking,craft,wits,station:quern;station:oven,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); rpg-systems §6 ('Cooking is a skill'); recipes.csv mill_flour/bake_bread at the quern and oven"
brewing,Brewing,craft,wits,station:brewing_vat,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); recipes.csv brew_beer at the brewing vat (the Hymn to Ninkasi)"
pottery,Pottery,craft,agility,station:potters_wheel,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); items.csv pottery; people.csv nammahani_potter"
weaving,Weaving,craft,agility,station:loom,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: six groups, 0-100, grow by use/teachers/texts); items.csv woolen_cloth/linen_cloth; people.csv kunshiatum_weaver"
