place_id,x_cm,y_cm,z_cm
armourer_place,9039,6032,440
armourer_place,9459,5694,195
bakers_house_place,13280,8380,300
bakery_place,11397,5414,77
bakery_place,11430,5530,77
caravan_yard_place,12421,1854,77
crescent_market_home_1_place,14789,10296,300
crescent_market_home_2_place,15546,11074,300
crescent_market_home_3_place,16363,11772,300
crescent_market_home_4_place,17249,12402,300
elder_house_1_place,9825,1757,300
elder_house_2_place,9845,2800,300
foreigners_lane_1_place,11200,20277,300
foreigners_lane_2_place,13522,22268,300
foreigners_lane_3_place,10288,22383,300
gate_tenement_place,10310,3925,77
house_of_tablets_home_1_place,31288,13658,300
house_of_tablets_home_2_place,32672,13308,300
house_of_tablets_home_3_place,33720,12423,300
house_of_tablets_home_4_place,34677,11446,300
lagoon_wharf_home_1_place,35921,4484,300
lagoon_wharf_home_2_place,36136,3007,300
lagoon_wharf_home_3_place,36165,1521,300
lagoon_wharf_home_4_place,36019,44,300
lighthouse_horn_home_1_place,38261,8129,300
lighthouse_horn_home_2_place,38635,7178,300
lighthouse_horn_home_3_place,38938,6218,300
market_tenement_place,13739,9448,77
migrant_tent_1_place,13243,20440,30
migrant_tent_2_place,12006,23774,30
migrant_tent_3_place,11038,21005,30
migrant_tent_4_place,14779,21515,30
migrant_tent_5_place,10407,19105,30
moon_gate_quarter_home_1_place,7309,-2472,300
moon_gate_quarter_home_2_place,7118,-1666,300
moon_gate_quarter_home_3_place,6967,-851,300
potters_house_place,10270,7881,126
prophets_court_home_1_place,10006,16361,300
prophets_court_home_2_place,11451,17633,300
prophets_court_home_3_place,13008,18763,300
sacred_mound_home_1_place,20327,15249,300
sacred_mound_home_2_place,27094,15396,300
sacred_mound_home_3_place,28519,15517,300
sacred_mound_home_4_place,29588,14562,300
scribes_house_place,33130,7865,300
smiths_lane_home_1_place,7549,7028,300
smiths_lane_home_2_place,7913,8091,300
smiths_lane_home_3_place,8348,9133,300
smithy_place,8629,4452,440
smithy_place,9233,4650,195
temple_kitchens_place,28712,12453,77
temple_kitchens_place,28821,12401,77
warchief_envoy_tent_place,12057,20987,30
