kind,hr,con,ra,dec,x,y,z,x2,y2,z2,size,r,g,b
star,3,Psc,1.3337,-5.7075,0.0232,0.5976,0.8015,0.0000,0.0000,0.0000,306.3078,0.1897,0.1769,0.1667
star,15,And,2.0971,29.0906,0.0320,0.0330,0.9989,0.0000,0.0000,0.0000,551.0082,0.5382,0.5622,0.6138
star,21,Cas,2.2946,59.1497,0.0205,-0.4720,0.8814,0.0000,0.0000,0.0000,524.9985,0.5368,0.5392,0.5572
star,25,Phe,2.3529,-45.7475,0.0286,0.9731,0.2287,0.0000,0.0000,0.0000,362.3748,0.2655,0.2479,0.2337
star,33,Cet,2.8163,-15.4681,0.0474,0.7244,0.6878,0.0000,0.0000,0.0000,287.1825,0.1667,0.1661,0.1646
star,39,Peg,3.3092,15.1836,0.0557,0.2717,0.9608,0.0000,0.0000,0.0000,461.4855,0.3696,0.3894,0.4305
star,45,Peg,3.6508,20.2067,0.0598,0.1863,0.9807,0.0000,0.0000,0.0000,293.1960,0.1738,0.1543,0.1384
star,48,Cet,3.6600,-18.9328,0.0604,0.7643,0.6420,0.0000,0.0000,0.0000,318.5356,0.2051,0.1808,0.1607
star,63,And,4.2729,38.6817,0.0582,-0.1348,0.9892,0.0000,0.0000,0.0000,306.3078,0.1714,0.1769,0.1897
star,68,And,4.5821,36.7853,0.0640,-0.1021,0.9927,0.0000,0.0000,0.0000,312.7217,0.1783,0.1842,0.1977
star,74,Cet,4.8571,-8.8239,0.0837,0.6386,0.7650,0.0000,0.0000,0.0000,390.0839,0.3076,0.2819,0.2612
star,77,Tuc,5.0179,-64.8747,0.0371,0.9939,-0.1037,0.0000,0.0000,0.0000,334.3167,0.2259,0.2224,0.2185
star,98,Hyi,6.4379,-77.2542,0.0247,0.9490,-0.3144,0.0000,0.0000,0.0000,464.6843,0.4365,0.4274,0.4183
star,99,Phe,6.5708,-42.3061,0.0846,0.9554,0.2831,0.0000,0.0000,0.0000,510.6908,0.5272,0.4893,0.4589
star,100,Phe,6.5508,-43.6800,0.0825,0.9620,0.2602,0.0000,0.0000,0.0000,357.4029,0.2384,0.2439,0.2582
star,105,Scl,6.9821,-33.0072,0.1019,0.8956,0.4329,0.0000,0.0000,0.0000,292.5217,0.1730,0.1527,0.1360
star,123,Cas,7.9433,54.5222,0.0802,-0.4020,0.9121,0.0000,0.0000,0.0000,297.9600,0.1577,0.1646,0.1795
star,125,Phe,7.8542,-48.8036,0.0900,0.9810,0.1717,0.0000,0.0000,0.0000,295.2283,0.1581,0.1636,0.1762
star,126,Tuc,7.8863,-62.9581,0.0624,0.9954,-0.0727,0.0000,0.0000,0.0000,323.7114,0.1870,0.1949,0.2118
star,127,Tuc,7.8900,-62.9658,0.0624,0.9954,-0.0728,0.0000,0.0000,0.0000,311.2849,0.1801,0.1845,0.1959
