id,name,kind,parent,skills,specialisations,perks,tag,source_ref
warrior,Warrior,calling,,mace_and_axe;spear;shield;wrestling,wall_guard;champion,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); the War Age and the raids (wb §1; notes L15)"
wall_guard,Wall guard,specialisation,warrior,spear;shield;bow_and_sling,,skill_bonus:shield:5;wage_bp:2000,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); people.csv gatekeepers and watchmen of the City of the Moon"
champion,Champion (single combat),specialisation,warrior,wrestling;mace_and_axe,,skill_bonus:wrestling:10;attribute:strength:1,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); belt-wrestling and the champion's duel of the Gilgamesh cycle"
hunter,Hunter,calling,,bow_and_sling;hunting;stealth;survival,desert_scout;marsh_fowler,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); the wild lands (D-021)"
desert_scout,Desert scout,specialisation,hunter,stealth;survival,,skill_bonus:survival:10;skill_bonus:stealth:5,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); the Suti of the South, a desert people (factions.csv suti; wb §7)"
marsh_fowler,Marsh fowler,specialisation,hunter,bow_and_sling;fishing,,skill_bonus:fishing:5;skill_bonus:bow_and_sling:5,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); the sage of the swamps (people.csv the_prophet) and the reed marshes of the river lands"
artisan,Artisan,calling,,pottery;weaving;metalwork;cooking;brewing,bronze_smith;brewer;weaver,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); people.csv craftsmen; schedules.csv workshops_full_work"
bronze_smith,Bronze smith,specialisation,artisan,metalwork,,skill_bonus:metalwork:10;attribute:strength:1,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); mechanics.md row 29 (flint -> copper -> arsenical -> tin bronze)"
brewer,Brewer,specialisation,artisan,brewing;cooking,,skill_bonus:brewing:10;wage_bp:1500,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); people.csv ur_lisi_brewer; recipes.csv brew_beer (Ninkasi)"
weaver,Weaver,specialisation,artisan,weaving,,skill_bonus:weaving:10;trade_bp:200,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); people.csv kunshiatum_weaver; items.csv woolen_cloth"
merchant,Merchant,calling,,bargaining;appraisal;reckoning;persuasion,caravaneer;sea_trader,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); the notes' 'do business' (mechanics.md row 27); the tamkarum of the real record"
caravaneer,Caravaneer,specialisation,merchant,survival;herding;bargaining,,trade_bp:500;skill_bonus:survival:5,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); items.csv pack_donkey; mechanics.md row 8 (caravans)"
sea_trader,Sea trader,specialisation,merchant,sailing;appraisal,,trade_bp:500;skill_bonus:sailing:5,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); the lighthouse trade of the City of the Moon (schedules.csv lighthouse rows)"
scribe,Scribe,calling,,scribal_arts;reckoning;persuasion,tablet_house_master;field_surveyor,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); people.csv lu_nanna_scribe; the tablet house"
tablet_house_master,Master of the tablet house,specialisation,scribe,scribal_arts;reckoning,,study_bp:5000;fee_bp:-2500,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); the scribal school (schedules.csv scribes_open_the_tablet_house)"
field_surveyor,Field surveyor,specialisation,scribe,reckoning;farming,,skill_bonus:reckoning:5;skill_bonus:farming:5;wage_bp:1500,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); seed loans and field measures (schedules.csv scribe_sowing_seed_loans)"
priest,Priest,calling,,rites;divination;incantation;scribal_arts,exorcist;diviner;lector_priest,,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); mechanics.md row 23 (the Exorcist and Diviner specialisations fit canon directly); people.csv priests of the moon"
exorcist,Exorcist,specialisation,priest,incantation;medicine,,skill_bonus:incantation:10;skill_bonus:medicine:5,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); mechanics.md row 23; game-design §8.2 (exorcisms / zisurru; medicine as exorcism)"
diviner,Diviner,specialisation,priest,divination;reckoning,,skill_bonus:divination:10;study_bp:2500,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 23 (rpg-systems §2.3: choose at 5, specialise at 15, second calling at 25, +50% growth); mechanics.md row 23; rites.csv barutu_haruspicy; divination_forms.csv"
