id,name,kind,canon,tag,source_ref
the_empire,The Empire,major,almost 180 years old; made by the great Law Giver of the lost city of jewels; built on tribute and conquest for the lady of the skies; the dynasty's hold is about to break — drought; eastern raids and migrations; the southern rebellion,CANON,wb §4.1; notes L14-15;L104
neo_sumerian_rebellion,The Neo Sumerian Rebellion,major,the seer from the city of Ur — the mysterious sage of the swamps — seeks to unite the southern city states; push back the barbarians; fix the drought; rebirth Sumerian culture,CANON,wb §4.2; notes L18-19;L104
the_barbarians,The Barbarians,major,eastern mountain people turned warrior people by a new form of thought; tribal and scattered; bound loosely by survival of the breaking — new lands in the west,CANON,wb §4.3; notes L20-21
brotherhood_of_the_serpent,The Brotherhood of the Serpent,hidden,Ante-Diluvian priestly secret order; preserve balance and the natural law; works in the background; can only be met by the worthy; describes the Empire's deity as a demonic entity,CANON,wb §2;§4.4; notes L5;L22-26
retributors_of_utu,The Retributors of Utu,minor,guild of paladins headquartered at the City of the Sun,CANON,wb §5; notes L50
dead_cult,The dead cult,minor,the biggest ancestor and underworld cult; City of the Dead / Gravestone (whether these are one city or two is OPEN — game-design §11.7),CANON,wb §5; notes L44;L103
sky_cult,The cult of the Sky Father,minor,centered on the sacred hill at the City of the Sky,CANON,wb §5; notes L46
eastern_barbarian_alliance,The eastern barbarian alliance,minor,the mighty warchief's alliance; City of the Warrior Spirit,CANON,wb §5; notes L56
suti,The Suti,minor,reign alone in the South (regions:south plan 2),CANON,wb §7; notes L143
southern_city_states_alliance,The rebellious alliance of southern city states,minor,home at the City of the Moon,CANON,wb §5; notes L52
