id,name,calling,skill,effect,min_level,min_skill,tag,source_ref
broad_shoulders,Broad shoulders,,,attribute:strength:1,3,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
quick_hands,Quick hands,,,attribute:agility:1,3,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
long_road,The long road,,,attribute:endurance:1,3,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
sharp_wits,Sharp wits,,,attribute:wits:1,3,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
keen_eyes,Keen eyes,,,attribute:perception:1,3,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
commanding_voice,Commanding voice,,,attribute:presence:1,3,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
eater_of_little,Eater of little,,survival,growth_bp:survival:5000,2,10,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); skills.csv survival"
market_tongue,Market tongue,,bargaining,trade_bp:300,2,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); skills.csv bargaining"
hard_worker,Hard worker,,,wage_bp:2500,3,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
apt_pupil,Apt pupil,,,fee_bp:-2500;growth_bp:scribal_arts:2500,4,0,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40)"
knife_work,Knife work,,dagger,skill_bonus:dagger:5,4,15,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); skills.csv dagger"
shield_wall,Shield wall,warrior,shield,skill_bonus:shield:10,5,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv warrior; skills.csv shield"
spear_drill,Spear drill,warrior,spear,growth_bp:spear:5000,5,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv warrior; skills.csv spear"
watch_on_the_wall,Watch on the wall,wall_guard,bow_and_sling,skill_bonus:bow_and_sling:10,15,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv wall_guard; skills.csv bow_and_sling"
wrestlers_grip,The wrestler's grip,champion,wrestling,skill_bonus:wrestling:10,15,35,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv champion; skills.csv wrestling"
still_as_reeds,Still as reeds,hunter,stealth,skill_bonus:stealth:10,5,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv hunter; skills.csv stealth"
slingers_eye,The slinger's eye,hunter,bow_and_sling,skill_bonus:bow_and_sling:10,5,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv hunter; skills.csv bow_and_sling"
trackers_patience,The tracker's patience,hunter,hunting,skill_bonus:hunting:10,5,25,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv hunter; skills.csv hunting"
reader_of_sand,Reader of sand,desert_scout,survival,skill_bonus:survival:10,15,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv desert_scout; skills.csv survival"
net_and_arrow,Net and arrow,marsh_fowler,fishing,skill_bonus:fishing:5;skill_bonus:bow_and_sling:5,15,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv marsh_fowler; skills.csv fishing"
true_wheel,The true wheel,artisan,pottery,skill_bonus:pottery:10,5,35,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv artisan; skills.csv pottery"
bronze_pour,The bronze pour,bronze_smith,metalwork,skill_bonus:metalwork:10,15,35,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv bronze_smith; skills.csv metalwork"
ninkasis_measure,Ninkasi's measure,brewer,brewing,skill_bonus:brewing:10,15,40,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv brewer; skills.csv brewing"
tight_warp,The tight warp,weaver,weaving,skill_bonus:weaving:10,15,35,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv weaver; skills.csv weaving"
honest_weights,Honest weights,merchant,appraisal,skill_bonus:appraisal:10;trade_bp:200,5,35,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv merchant; skills.csv appraisal"
silver_tongue,Silver tongue,merchant,persuasion,skill_bonus:persuasion:10,5,30,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv merchant; skills.csv persuasion"
caravan_master,Caravan master,caravaneer,herding,growth_bp:herding:5000;trade_bp:200,15,20,INVENTED,"INVENTED (W4-A; D-018; D-021) — mechanics.md row 22 (rpg-systems §2.2: one talent per level, levels capped at 40); callings.csv caravaneer; skills.csv herding"
