id,name,role,city,faction,home_place,work_place,tag,source_ref
law_giver,The great Law Giver,founder of the Empire; the player's previous incarnation (implied),city_of_jewels,the_empire,,,CANON,wb §4.1;§5; notes L15;L28;L42
the_prophet,The enigmatic Prophet,leader of the rebellious alliance; the seer from Ur; the mysterious sage of the swamps,city_of_the_moon,neo_sumerian_rebellion,,,CANON,wb §4.2;§5; notes L19;L52;L104
the_warchief,The mighty warchief,ruler of the City of the Warrior Spirit,city_of_the_warrior_spirit,eastern_barbarian_alliance,,,CANON,wb §5; notes L56 (name OPEN)
ur_utu_gatekeeper_dawn,Ur-Utu,gatekeeper,city_of_the_moon,,,moon_gate_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_utu (A); role per schedules.csv gates_open_at_dawn; the street's dawn gatekeeper
sin_iddinam_gatekeeper_dusk,Sin-iddinam,gatekeeper,city_of_the_moon,,,moon_gate_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:sin_iddinam (A); role per schedules.csv gates_close_at_dusk; the street's dusk gatekeeper
sin_eribam_watchman,Sin-eribam,watchman,city_of_the_moon,,,gate_watch_post_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:sin_eribam (A); role per schedules.csv watchmen_night_patrol
iddin_sin_watchman,Iddin-Sin,watchman,city_of_the_moon,,,gate_watch_post_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:iddin_sin (A); role per schedules.csv watchmen_night_patrol
ishme_dagan_watchman,Ishme-Dagan,watchman,city_of_the_moon,,,gate_watch_post_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:ishme_dagan (A); role per schedules.csv deep_watch
ur_shara_baker,Ur-Shara,baker,city_of_the_moon,southern_city_states_alliance,bakers_house_place,bakery_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:ur_shara (A); role per schedules.csv baker_fires_the_oven; owns places.csv bakery_place;bakers_house_place
shesh_kalla_miller,Shesh-kalla,miller,city_of_the_moon,southern_city_states_alliance,millers_house_place,millers_house_place,INVENTED,INVENTED (D-018); name db/canon/names.csv:shesh_kalla (A); role per schedules.csv miller_turns_the_quern; owns places.csv millers_house_place
