Name,crime,penalty_options,jurisdiction,tag,source_ref
theft,theft of another's goods; restored at multiplied value,compensation;confiscation;death,city_gates,A,Code of Hammurabi §6;§8 (theft from a god's or the palace's property restored thirtyfold — death when the thief cannot pay)
burglary,breaking into a house by breach or forced door to steal,death;confiscation,city_gates,A,Code of Hammurabi §21 (they kill the house-breaker and bury him in his breach)
assault,wounding a man in a quarrel; injuries priced by a fine schedule,compensation;death,city_gates,A,Laws of Eshnunna (graduated silver fines — a destroyed eye at one mina; a slap on the cheek at ten shekels); Code of Ur-Nammu (bodily injuries compensated in silver); Code of Hammurabi §206-208 (a blow in a quarrel — one mina of silver); notes L186 (Eshnunna stands in the notes' city list)
murder,the killing of a man; life for life,death;exile,crown,A,Code of Ur-Nammu §1 (a man who commits murder shall be killed); Code of Hammurabi §229-230 (life for life — the builder whose house kills pays with his life); wb §1 (the age demands men balance compassion with wrath — justice and petty revenge; notes L23)
sorcery,malefic magic — binding or harming by witchcraft; the charge is tried by the River Ordeal,death;exile;dismissed,temple,A,Code of Hammurabi §2 (an unsubstantiated witchcraft charge goes to the divine River Ordeal — a false accuser dies); Maqlû (the Akkadian anti-witchcraft series that burns the witch in effigy); notes L196 (much of medicine consisted of exorcisms); notes L205 (binding minds is bad karma)
sacrilege,offense against the temple or the property of a god,compensation;death,temple,A,Code of Hammurabi §6 (theft from a god or the palace restored thirtyfold — or death when he cannot pay); §8 (temple and palace beasts restored thirtyfold and tenfold)
oath_breaking,breaking a sworn oath or bearing false witness before the god; the oath is proof in court,compensation;debt_service;death,temple,A,Code of Hammurabi §3-4 (the false oath-bearer bears the penalty of the case — death in a capital case); §117 (a debtor's pledged household serves three years and goes free in the fourth); the sworn oath as decisive proof in Old Babylonian procedure
tomb_robbery,robbing the burial places of the dead and of kings; the stones of the dead curse the violator,death;confiscation,crown,A,curse-inscription tradition on Mesopotamian boundary stones and tombs; Royal Cemetery of Ur (the archaeological record of royal burial — Ur stands in the notes' city list; notes L163); Code of Hammurabi §21 (breach into a built place — death); wb §5 (the kings laid in underground catacombs; notes L48;L59)
fraud,cheating in measure or price or trust; the defrauder restores at multiplied value,compensation;death,city_gates,A,Code of Hammurabi §94 (a merchant who defrauds his agent repays sixfold); §108 (an ale-wife who waters her beer is thrown into the water)
harbouring_fugitive,sheltering a runaway from his master or from the palace's summons,death;exile,crown,A,Code of Hammurabi §15 (leading a slave out through the main city gate — death); §16 (harbouring a fugitive who will not surrender at the constable's summons — the householder dies)
