id,domain,community,custom,consequence,tag,source_ref
dog_owl_warding_engravings,architecture and warding,city_of_the_dead,engravings of dogs and owls on people's houses,ward off evil spirits,CANON,wb §5; notes L44
skull_streets,architecture and warding,city_of_the_dead,the streets are filled with skulls,the city's signature and its dread,CANON,wb §5; notes L44
hospitality_bread_water,hospitality,the river lands,a traveller at the gate is given bread and water and a place by the hearth before any questions are asked; the host who shelters a guest gains standing before the city,turning a guest away hungry shames the house in the city's eyes and is told against it for years,A,Mesopotamian hospitality custom (Sumerian and Akkadian wisdom literature: Instructions of Shuruppak; Counsels of Wisdom)
guest_obligations_household,hospitality,the river lands,the guest eats what is set before him; he does not open the host's storerooms; he keeps the house's peace and speaks no slander under its roof; news of the road is his thanks,a guest who violates the house that shelters him loses guest-right everywhere — no hearth will take him in,A,Ancient Near Eastern guest-right custom (wisdom literature: Instructions of Shuruppak; the Mari letters on travellers and envoys)
gift_debt_of_honour,gifts and debt,the river lands,a gift received is a debt of honour: it is answered with a greater gift or a service; great houses count gifts owed and gifts given like debts,a gift left unanswered lowers the receiver below the giver; a gift given to bind a man puts a hook in him,A,Near Eastern gift-exchange reciprocity (the Amarna letters' great-king gift exchange between brother-kings; the Mari letters' gift diplomacy)
purity_before_temple_entry,purity,the river lands,none enters the god's court unwashed: hands and feet washed; clean garments; contact with the dead abstained from for the set days; a zisurru flour circle bounds the pure ground,"entering a temple impure draws reactions and refusal of entry (custom, city-life §4); rite-level gating awaits purity_required values (D-011)",A,Mesopotamian cultic purity practice (ablutions and abstentions before temple entry; royal lustration — the 'house of washing'; zisurru flour circles — imported also by the notes)
first_portion_to_the_gods,offerings,the river lands,the first portion of every meal and the first pouring of every brew is set out for the god before any mouth eats or drinks; the temple's regular offering table is fed daily,food eaten without the god's portion is stolen from heaven; a house known to skip it loses the god's favour,A,Mesopotamian temple offering practice (the ginu regular-offering corpus; offering tables and libations set before the deity)
mourning_wailing_laments,mourning and the dead,the river lands,the dead are mourned aloud: lamentation priests and wailing mourners lead the grief; garments torn; dust on the head; the lament sung for the set days,a house that mourns quietly is judged to hold grudges against its own dead,A,Mesopotamian mourning custom (the gala and kalu lamentation priests; the balag lament tradition)
kispum_feeding_the_dead,mourning and the dead,the river lands,at the set time each month the dead are fed: a laid-out feast of food and drink for the ancestors; water poured for them; their names spoken so they do not fade,the neglected dead withdraw their blessing and walk restless; feeding them keeps peace between the living houses and the dead,A,the kispum ancestral feast (Old Babylonian and later texts: regular offerings of food and water to the dead)
grave_provisions_for_the_road,mourning and the dead,the river lands,the dead go provisioned: food and drink and vessels and ornaments laid in the grave for the road to the netherworld; the greater the dead the richer the outfitting,a robbed grave curses the robber and his house; provisioning the dead is a family duty and not a display,A,the archaeological record (grave goods buried with the dead; the Royal Cemetery of Ur excavations)
oath_emblem_and_life_of_king,oaths,the river lands,the oath is taken standing before witnesses: the swearer invokes heaven and earth and the great gods; oaths of state are sworn in the god's presence with hand on his emblem; before the throne one swears by the life of the king,perjury before the emblem is a sin against the god himself — the false swearer's name and house are cursed; unbroken oaths bind re-swearing (the one-oath rule),A,Mesopotamian oath and treaty practice (the 'by the life of the king' oath formula of the Old Babylonian letters; oaths sworn in the god's presence before his emblem)
kings_mummified_in_catacombs,mourning and the dead,city_of_kings,the legacy of kings is mummified and guarded here; the greatest kings are laid in massive underground catacombs to join the ancestors in the Kingdom of the Dead,the royal dead are the dynasty's proof and seat: to guard them is to hold the claim of kingship,CANON,wb §3;§5; notes L48;L59
dead_cult_spirit_scrolls,mourning and the dead,city_of_the_dead,the biggest ancestor and underworld cult in the Empire; ritual scrolls for communicating with underworld spirits; the greatest temple built within the earth housing the great statue of the queen of the underworld,seekers of the underworld come here from all the lands; the dead are petitioned here as nowhere else in the Empire,CANON,wb §5; notes L44
barbarian_shamanistic_old_ways,war and the wild,eastern_barbarian_alliance,the barbarians keep the old shamanistic way of life that was part of Sumerian life before the urbanization; beside it their new customs of tribal warfare,they resist integration; where they rule the traces of city culture and economy rot and the farm animals run free,CANON,wb §4.3; notes L21;L35
imperial_nakedness,the imperial person,the_empire (the City of Jewels' court),the emperor wears no regalia — naked except underwear,none; it is simply how the emperor appears (designer ruling D-016),CANON,designer ruling 2026-09-25 (D-016); resolves the kings_regalia OPEN (the objects do not exist)
