id,skill_id,via,source,max_level,fee_per_hour,note,tag,source_ref
teach_spear_watchman,spear,teacher,watchman,50,2,the night watch drills the spear in the gate court,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'watchman'; skills.csv spear
teach_shield_watchman,shield,teacher,watchman,50,2,the watch keeps its shields and teaches how to stand behind one,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'watchman'; skills.csv shield
teach_dagger_watchman,dagger,teacher,watchman,40,2,the short bronze blade for the alley and the crowd,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'watchman'; skills.csv dagger
teach_wrestling_watchman,wrestling,teacher,watchman,40,1,"watchmen wrestle in the off hours, as the reliefs show",INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'watchman'; skills.csv wrestling
teach_bow_and_sling_gatekeeper,bow_and_sling,teacher,gatekeeper,40,2,the gatekeeper's bow on the wall above the gate,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'gatekeeper'; skills.csv bow_and_sling
teach_spear_gatekeeper,spear,teacher,gatekeeper,40,2,the gatekeeper's spear across the gateway,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'gatekeeper'; skills.csv spear
teach_mace_and_axe_paladin,mace_and_axe,teacher,paladin,60,3,the Retributors of Utu drill with the mace at dawn (schedules.csv paladin_dawn_drill),INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'paladin'; skills.csv mace_and_axe
teach_shield_paladin,shield,teacher,paladin,60,3,the Retributors' shield drill,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'paladin'; skills.csv shield
teach_spear_paladin,spear,teacher,paladin,60,3,the Retributors' spear drill,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'paladin'; skills.csv spear
teach_rites_priest_of_the_moon,rites,teacher,priest of the moon,70,3,the priests teach the forms of offering and hymn in the temple court,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'priest of the moon'; skills.csv rites
teach_incantation_priest_of_the_moon,incantation,teacher,priest of the moon,50,3,the temple's exorcist-physicians (deities.csv gula) teach the incantations,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'priest of the moon'; skills.csv incantation
teach_scribal_arts_priest_of_the_moon,scribal_arts,teacher,priest of the moon,40,3,temple scribes teach the signs of the hymns,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'priest of the moon'; skills.csv scribal_arts
teach_divination_priest_of_the_sun,divination,teacher,priest of the sun,60,3,"the sun god is lord of the omen (Shamash and Adad, lords of divination, in the diviners' prayers)",INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'priest of the sun'; skills.csv divination
teach_rites_priest_of_the_sun,rites,teacher,priest of the sun,60,3,the sun temple's morning rite (schedules.csv sun_temple_morning_rite),INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'priest of the sun'; skills.csv rites
teach_pottery_craftsman,pottery,teacher,craftsman,60,2,the potter's wheel in the potters' house,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'craftsman'; skills.csv pottery
teach_weaving_craftsman,weaving,teacher,craftsman,60,2,the loom in the weavers' house,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'craftsman'; skills.csv weaving
teach_metalwork_craftsman,metalwork,teacher,craftsman,40,3,the workshop keeps a small hearth for copper and bronze,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'craftsman'; skills.csv metalwork
teach_bargaining_market_trader,bargaining,teacher,market trader,70,2,a trader teaches the market's give and take for a fee,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'market trader'; skills.csv bargaining
teach_appraisal_market_trader,appraisal,teacher,market trader,60,2,"the scale, the weights and the eye for short measure",INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'market trader'; skills.csv appraisal
teach_reckoning_market_trader,reckoning,teacher,market trader,40,2,the trader's tallies,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'market trader'; skills.csv reckoning
teach_cooking_baker,cooking,teacher,baker,60,1,the baker fires the oven before dawn and will take a helper,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'baker'; skills.csv cooking
teach_cooking_miller,cooking,teacher,miller,40,1,the quern and the sieve,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'miller'; skills.csv cooking
teach_cooking_cook_shop_keeper,cooking,teacher,cook-shop keeper,70,1,the noon cookshop's pots,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'cook-shop keeper'; skills.csv cooking
teach_brewing_brewer,brewing,teacher,brewer,70,2,"the brewer's mash, bappir and vat (the Hymn to Ninkasi)",INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'brewer'; skills.csv brewing
teach_persuasion_tavern_keeper,persuasion,teacher,tavern keeper,60,2,the tavern keeper knows how to talk a room round,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'tavern keeper'; skills.csv persuasion
teach_brewing_tavern_keeper,brewing,teacher,tavern keeper,40,2,the tavern's own small vat,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'tavern keeper'; skills.csv brewing
teach_scribal_arts_scribe,scribal_arts,teacher,scribe,80,3,the tablet house takes pupils,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'scribe'; skills.csv scribal_arts
teach_reckoning_scribe,reckoning,teacher,scribe,70,3,the scribe's accounts and seed loans,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'scribe'; skills.csv reckoning
teach_survival_water_carrier,survival,teacher,water-carrier,40,1,a water-carrier knows every well and how little water a body can live on,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'water-carrier'; skills.csv survival
teach_herding_herdsman,herding,teacher,herdsman,60,1,the herdsman takes a boy out with the flocks,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'herdsman'; skills.csv herding
teach_hunting_herdsman,hunting,teacher,herdsman,40,1,the herdsman hunts the lion and the wolf that take his sheep,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'herdsman'; skills.csv hunting
teach_bow_and_sling_herdsman,bow_and_sling,teacher,herdsman,30,1,the herdsman's sling,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'herdsman'; skills.csv bow_and_sling
teach_fishing_fisherman,fishing,teacher,fisherman,60,1,"nets, lines and the morning tide",INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'fisherman'; skills.csv fishing
teach_sailing_fisherman,sailing,teacher,fisherman,40,1,the reed boat and the harbour mouth,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'fisherman'; skills.csv sailing
teach_sailing_lighthouse_keeper,sailing,teacher,lighthouse keeper,50,2,the keeper knows the sea lanes the Great Lighthouse lights,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'lighthouse keeper'; skills.csv sailing
teach_farming_field_hand,farming,teacher,field hand,50,1,"the furrow, the seed-plough and the sickle",INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'field hand'; skills.csv farming
teach_medicine_household,medicine,teacher,household,50,1,the household elders' herb-lore and midwifery (the Old Woman),INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'household'; skills.csv medicine
teach_farming_household,farming,teacher,household,40,1,the household plot and the family field,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'household'; skills.csv farming
teach_herding_household,herding,teacher,household,30,1,the household's goats and sheep,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'household'; skills.csv herding
teach_cooking_household,cooking,teacher,household,40,1,the household hearth,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by teachers); schedules.csv role 'household'; skills.csv cooking
text_incantation_zisurru_incantation_tablet,incantation,text,zisurru_incantation_tablet,60,0,the flour-circle incantation copied for the exorcist-physicians,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by texts); items.csv zisurru_incantation_tablet; rite_teachings.csv text_zisurru_warding_tablet
text_divination_clay_liver_model,divination,text,clay_liver_model,60,0,the liver's zones marked and their omens written on the clay,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by texts); items.csv clay_liver_model (A); rite_teachings.csv text_barutu_haruspicy_liver_model
text_rites_underworld_ritual_scroll,rites,text,underworld_ritual_scroll,50,0,the rites of the underworld spirits of the City of the Dead,INVENTED,INVENTED (W4-A; D-018; D-021) — mechanics.md row 21 (rpg-systems §2.1: skills grow by texts); items.csv underworld_ritual_scroll (CANON)
