id,role,hour,task,season,tag,source_ref,festival,shift
baker_fires_the_oven,baker,3,fires the oven in the dark and kneads the first dough; the first loaves come out at sunrise,,INVENTED,INVENTED (D-012 authored glue)
miller_turns_the_quern,miller,4,turns the quern-stones before dawn so the day's flour is ready when the bakers call,,INVENTED,INVENTED (D-012 authored glue)
water_carriers_draw,water-carrier,5,draws the day's water at the coolest hour while the river bank is still in shadow; every jar is counted in the drought,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §4.1; notes L104 (the drought that engulfs the lands)
herds_out_to_pasture,herdsman,5,drives the flocks out through the gate at first light to the grazing lands beyond the walls,,INVENTED,INVENTED (D-012 authored glue)
gates_open_at_dawn,gatekeeper,6,the city gates open at dawn; the night watch is relieved and the carts queued outside are counted in,,INVENTED,INVENTED (D-012 authored glue); shift added K-2: this is the dawn gatekeeper's own row (people.csv ur_utu_gatekeeper_dawn),,dawn
sun_temple_morning_rite,priest of the sun,6,sings the morning offering at the temple of sun and moon as the sun climbs over the sea,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L52 (temple of sun and moon)
paladin_dawn_drill,paladin,6,the Retributors of Utu drill in the yard and speak the dawn rite facing the rising sun,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L50 (the guild of paladins the Retributors of Utu)
fishermen_morning_tide,fisherman,7,put out with the morning tide; the first catch goes up to the temple and to the fish stalls,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L52 (direct access to sea trade routes)
field_hands_first_light,field hand,7,out to the fields at first light; hoeing and hauling done while the air is still cool,,INVENTED,INVENTED (D-012 authored glue)
scribes_open_the_tablet_house,scribe,8,the tablet-house opens; contracts and tallies for the harbor trade are pressed into wet clay,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L52 (a hub for trade and scholarship)
market_stalls_set_out,market trader,8,stalls set out on the square; grain and dates and oil and wool and salt in their morning rows,,INVENTED,INVENTED (D-012 authored glue)
market_peaks_in_the_morning,market trader,9,the market peaks in the morning; the best trade is done before the heat thins the crowd,,INVENTED,INVENTED (D-012 authored glue)
lighthouse_harbor_watch,lighthouse keeper,9,guides the first ships past the Great Lighthouse; cargo measured and harbor dues taken in barley and silver by weight,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L52 (the Great Lighthouse)
workshops_full_work,craftsman,10,wheels and looms and forges at full work through the mid-morning,,INVENTED,INVENTED (D-012 authored glue)
midday_rest,workshops and households,12,midday rest; workshops shut and the streets empty through the worst heat; workers sleep and eat in the shade,,INVENTED,INVENTED (D-012 authored glue)
cookshops_noon_meal,cook-shop keeper,13,serves the noon meal; day-laborers paid in bread and beer and barley,,INVENTED,INVENTED (D-012 authored glue)
dockworkers_outbound_cargo,dockworker,15,outbound cargo carried down to the harbor for the evening tide,,INVENTED,INVENTED (D-012 authored glue)
herds_home_before_dark,herdsman,17,brings the flocks back through the gate and counts them before dark,,INVENTED,INVENTED (D-012 authored glue)
gates_close_at_dusk,gatekeeper,18,the gates are shut at dusk; the bolt drawn and the wall watch mounted,,INVENTED,INVENTED (D-012 authored glue); shift added K-2: this is the dusk gatekeeper's own row (people.csv sin_iddinam_gatekeeper_dusk),,dusk
moon_temple_evening_rite,priest of the moon,19,sings the evening offering when the moon and the evening star rise; incense at the temple of sun and moon,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L52 (temple of sun and moon); wb §8.3 (the evening star)
evening_meal_and_lamps,household,20,the evening meal; lamps filled and lit; doors barred for the night,,INVENTED,INVENTED (D-012 authored glue)
watchmen_night_patrol,watchman,21,the night watch patrols lanes and walls in three watches until dawn; anyone abroad without a lamp is challenged,,INVENTED,INVENTED (D-012 authored glue); shift added K-2: the night-patrol watchmen's own row (people.csv sin_eribam_watchman;iddin_sin_watchman),,night_patrol
lighthouse_fire_through_night,lighthouse keeper,22,feeds the great fire through the night so no ship founders on the dark coast,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L52 (the Great Lighthouse)
deep_watch,watchman,0,the deep watch at the night's still hour; in the City of the Moon this is the moon's own hour,,INVENTED,INVENTED (D-012 authored glue); anchored on wb §5; notes L52 (City of the Moon); shift added K-2: the deep-watch watchman's own row (people.csv ishme_dagan_watchman),,deep
brewer_mashes_the_malt,brewer,10,mashes the malted barley into bappir loaves and sets the vats to ferment,,INVENTED,INVENTED (D-018) authored glue; anchored on foods.csv barley_beer
tavern_opens_at_dusk,tavern keeper,18,opens the tavern room; pours the day's beer through reed straws for the street's laborers,,INVENTED,INVENTED (D-018) authored glue; anchored on foods.csv barley_beer (drunk unfiltered through reed straws)
market_trader_harvest_dawn_rush,market trader,7,opens stalls at first light in the harvest crush; new grain floods the square and the traders race the heat,harvest,INVENTED,INVENTED (D-018); seasons.csv harvest; events.csv harvest_market_surge
baker_vintage_sweet_loaves,baker,4,bakes date-sweetened loaves for the vintage season while the date syrup is fresh from the presses,vintage,INVENTED,INVENTED (D-018); seasons.csv vintage; foods.csv dates
brewer_vintage_date_wine,brewer,11,ferments date syrup into the vintage season's sweet brew alongside the barley beer,vintage,INVENTED,INVENTED (D-018); seasons.csv vintage; foods.csv dates (date wine attested in the cuneiform corpus)
water_carrier_rains_short_draw,water-carrier,5,"draws a shorter round in the rains — the wells rise, but the ration discipline of the drought years holds even so",rains,INVENTED,"INVENTED (D-018); seasons.csv rains; wb §4.1 (the drought that is breaking the world); shift added K-2: this is Geme-Shara's own row (people.csv geme_shara_water_carrier), not every water-carrier's",,rains_shift
scribe_sowing_seed_loans,scribe,8,presses seed-loan contracts into wet clay as households borrow grain for sowing against the harvest to come,sowing,INVENTED,INVENTED (D-018); seasons.csv sowing; notes L57 (sowing wheat and barley); game-design §5.3 (loans at the traditional rates)
