id,name,group,wealth,w_m,d_m,storeys,look,tag,source_ref
city_gate,The Moon Gate,monument,civic,16,10,2,twin towers with glazed lapis bands and the crescent,INVENTED,"D-025; docs/world-art-plan.md §4.4; buildings.csv city_gate"
watch_post,Gate watch post,civic,civic,7,6,2,lookout platform and spear racks,INVENTED,"D-025; world-art-plan §4.2"
toll_house,Toll house,civic,civic,6,5,1,toll table with scales under an awning,INVENTED,"D-025; world-art-plan §4.2"
caravan_yard,Caravan yard and inn,trade,modest,22,16,2,walled court with donkey lines troughs and a guest gallery,INVENTED,"D-025; world-art-plan §4.2"
beerhouse,Beerhouse,trade,modest,11,9,1,fermenting jars benches and drinking straws,INVENTED,"D-025; world-art-plan §4.2; buildings.csv brewery_tavern"
prison_barracks,Quayside prison barracks,civic,civic,14,9,1,guarded yard with shackles and a holding room,INVENTED,"D-025; D-009 (the prisoner start); world-art-plan §4.2"
stable,Donkey stables,trade,poor,12,7,1,reed-roofed pens and fodder,INVENTED,"D-025; world-art-plan §4.2"
well_house,Well house and shaduf,civic,civic,5,5,1,a sweep over a brick well with troughs,INVENTED,"D-025; world-art-plan §4.2"
market_square,Market square,trade,civic,20,14,0,an open terrace of awnings,INVENTED,"D-025; world-art-plan §4.2"
market_stall,Market stall,trade,modest,5,4,0,a counter under a dyed awning with the goods on show,INVENTED,"D-025; buildings.csv market_stall"
cookshop,Cook-shop,trade,modest,7,6,1,a street oven and benches,INVENTED,"D-025; world-art-plan §4.2"
bakery,Bakery,trade,modest,8,7,1,beehive tannur ovens and bread stacks,INVENTED,"D-025; buildings.csv bakery"
mill,Mill house,trade,modest,8,7,1,rows of saddle querns in flour dust,INVENTED,"D-025; world-art-plan §4.2"
weights_house,House of Weights,civic,civic,10,8,1,official scales and duck-shaped stone weights,INVENTED,"D-025; docs/city-of-the-moon.md §2; world-art-plan §4.2"
foundry,Bronzesmith's foundry,workshop,modest,10,8,1,furnace and goatskin bellows with a slag heap and soot,INVENTED,"D-025; world-art-plan §4.2"
armourer,Armourer,workshop,modest,9,7,1,scale plates being laced and hide shields drying,INVENTED,"D-025; world-art-plan §4.2"
bowyer,Bowyer and fletcher,workshop,modest,8,6,1,spear shafts bows on pegs feathers and arrowheads,INVENTED,"D-025; world-art-plan §4.2"
potter,Potter's yard,workshop,modest,11,9,1,domed updraft kiln kick wheel and drying jars,INVENTED,"D-025; world-art-plan §4.2"
dyer_weaver,Weaver and dyer,workshop,modest,10,8,1,upright looms and dye vats with dripping skeins,INVENTED,"D-025; world-art-plan §4.2"
oil_press,Oil and perfume press,workshop,comfortable,9,8,1,a beam press and a scented court,INVENTED,"D-025; world-art-plan §4.2"
jeweller,Jeweller and seal-cutter,workshop,comfortable,6,5,1,a shady booth of lapis carnelian and cylinder seals,INVENTED,"D-025; world-art-plan §4.2"
physician,Physician's house,workshop,comfortable,9,8,2,drying herbs honey jars and a patient's mat,INVENTED,"D-025; world-art-plan §4.2"
scribe_booth,Scribe's booth,workshop,modest,5,4,0,a writing table by the well for hire,INVENTED,"D-025; world-art-plan §4.2"
tannery,Tannery,workshop,poor,14,10,1,soaking pits and hides on frames downwind,INVENTED,"D-025; world-art-plan §4.2"
brickyard,Brick-making yard,workshop,poor,18,12,0,clay pits and rows of bricks drying in the sun,INVENTED,"D-025; world-art-plan §4.3"
boatyard,Shipwright's slip,workshop,modest,16,10,1,a slip into the lagoon with reed boats and bitumen pots,INVENTED,"D-025; world-art-plan §4.2"
ziggurat,The temple of sun and moon,monument,sacred,46,64,3,three-tier ziggurat with recessed panels and the lapis shrine,INVENTED,"D-025; buildings.csv temple_of_sun_and_moon; notes L52"
gipar,The gipar,sacred,elite,16,12,2,the high priestess's whitewashed house and sacred garden,INVENTED,"D-025; world-art-plan §4.1"
temple_stores,Temple stores,sacred,civic,14,9,1,sealed storerooms and a granary dome,INVENTED,"D-025; world-art-plan §4.2"
temple_kitchens,Temple kitchens,sacred,civic,12,8,1,ovens and offering tables for the gods' meals,INVENTED,"D-025; world-art-plan §4.4"
diviner,Diviner's house,sacred,comfortable,9,8,2,clay liver models and a tethered sheep,INVENTED,"D-025; world-art-plan §4.2"
