mesh,x_cm,y_cm,yaw_deg,scale,withers,seasons
bush,7676,14564,343.7,1.04,1,all
bush,9540,16588,44.9,0.85,1,all
bush,10342,11954,54.3,0.94,1,all
bush,11667,18366,320.3,1.07,1,all
bush,12602,13371,104.2,0.90,1,all
bush,17423,13751,145.0,1.04,1,all
bush,20635,14809,176.8,1.02,1,all
bush,34366,1047,81.6,1.06,1,all
bush,35373,4373,294.8,1.05,1,all
bush,35642,1447,340.7,0.90,1,all
bush,38165,9038,330.3,0.81,1,all
bush_large,9411,16422,218.6,1.03,1,all
bush_large,10553,10508,241.5,0.96,1,all
bush_large,11209,13172,217.7,0.97,1,all
bush_large,12160,18744,165.4,0.86,1,all
bush_large,12525,21893,68.4,0.96,1,all
bush_large,18160,15234,195.4,0.97,1,all
bush_large,18836,11067,162.4,0.92,1,all
bush_large,27095,14841,172.2,0.82,1,all
bush_large,28368,16071,3.7,1.01,1,all
bush_large,29682,10773,272.2,0.85,1,all
bush_large,31412,13023,193.6,0.88,1,all
bush_large,32948,13631,353.1,0.87,1,all
bush_large,33074,7262,183.0,1.00,1,all
bush_large,34104,12815,217.5,0.94,1,all
bush_large,35531,499,300.7,0.82,1,all
bush_large,35616,3123,97.1,0.80,1,all
bush_small,1144,-9959,45.6,0.83,1,all
bush_small,1234,-9946,194.2,1.15,1,all
bush_small,1590,-8945,119.7,1.04,1,all
bush_small,2038,-10698,141.4,0.80,1,all
bush_small,2504,-11766,138.8,0.99,1,all
bush_small,2880,-8343,164.0,1.01,1,all
bush_small,3387,-8373,292.6,0.85,1,all
bush_small,3448,-12658,58.9,1.00,1,all
bush_small,4065,-8357,84.2,1.12,1,all
bush_small,5691,-10253,25.5,0.77,1,all
bush_small,6245,-12084,42.0,1.15,1,all
bush_small,11231,23535,161.0,1.20,1,all
bush_small,11906,22063,254.8,1.12,1,all
bush_small,12626,21084,241.3,0.78,1,all
bush_small,13517,15812,194.4,1.19,1,all
bush_small,14218,21287,197.5,0.89,1,all
bush_small,14382,22159,233.8,1.07,1,all
bush_small,16247,17364,166.0,0.72,1,all
bush_small,22253,19294,117.5,0.85,1,all
bush_small,29630,18178,353.4,0.76,1,all
bush_small,35512,14844,239.8,0.86,1,all
bush_small,38448,11199,39.2,1.00,1,all
bush_small,40733,-1692,343.6,0.85,1,all
bush_small,41094,-822,84.7,1.01,1,all
cattail,13495,1972,272.3,0.89,1,all
cattail,13629,1048,295.1,0.86,1,all
cattail,13717,322,57.9,0.80,1,all
cattail,13818,3595,188.9,1.18,1,all
cattail,13885,4856,264.7,1.16,1,all
cattail,13894,-426,186.6,0.81,1,all
cattail,13959,3637,16.9,1.17,1,all
cattail,14061,-563,253.9,1.07,1,all
cattail,14063,102,182.5,0.91,1,all
cattail,14115,-19,59.3,0.90,1,all
cattail,14219,5756,87.9,0.90,1,all
cattail,14288,5357,13.2,1.08,1,all
