id,name,category,triggers,participants,consequences,repeat,tag,source_ref
festival_pickpockets,Light Fingers at the Festival,crime,festival;chance:3,thieves; festival crowds; the watch,while the city crowds the procession to the temple of sun and moon purses are cut and unlocked houses are entered; the watch works the empty streets and drags suspects to the hearing,true,INVENTED,INVENTED glue on notes L52 (temple of sun and moon; hub of trade); mechanics.md row 14 (festivals) and row 12 (justice pipeline); D-011 events conventions
royal_tomb_violated,A Royal Tomb Violated,crime,drought_gte:3;chance:20,tomb robbers; the guard of the catacombs; the judge,hungry men break into the underground catacombs where the kings join the ancestors; news arrives in the City of the Moon (the catacombs lie off-map — the v1 map is the City of the Moon per D-005),false,INVENTED,INVENTED glue on wb §5; notes L59 (underground catacombs of the kings); mechanics.md row 12 (sealed verdict tablets; pursuit; detention not prisons)
wedding_unions,Marriages and Alliances,family,chance:8,marrying families; the temple; faction watchers,a wedding is held and hearts are bound in honesty; gifts pass between houses and the factions note which families are now tied,true,INVENTED,INVENTED glue on wb §8.3 (Venus list: the binding of hearts; unions: marriages and alliances); notes L207 (D-000)
eastern_refugees_at_the_gates,Refugees from the East,family,drought_gte:2;war_gte:1;chance:9,displaced households; the gate watch; hospitable households,households fleeing the eastern raids beg at the gates; hospitality customs are tested and the quarters grow crowded and hungry,true,INVENTED,INVENTED glue on notes L15 (migrations into the Empire); L20-21 (the Barbarians); mechanics.md row 13 (customs: hospitality)
grain_hoard_price_surge,Barley Held Back,economy,drought_gte:1;chance:6,grain hoarders; the harvest poor; the temple stores,hoarders hold barley off the market while hunger grows; grain climbs against silver and the temple's stores are pressed for relief,true,INVENTED,INVENTED glue on D-011 ratified price model (+50% anchor per drought stage); notes L15;L104 (the drought that is breaking the world)
sea_caravan_docks,A Sea Caravan from the South,economy,chance:7,merchant houses; the Great Lighthouse; sailors of the gulf trade,boats round the lighthouse carrying copper and timber and the goods of the south; the quays fill and news travels in with the cargo,true,A,Gulf maritime trade (Dilmun; Magan; Meluhha) attested in Ur III and Old Babylonian cuneiform archives
locust_swarms,Locusts on the Fields,nature,drought_gte:1;chance:12,outlying farmsteads; the granaries; field hands,a swarm strips the outlying fields; field hands smoke and beat the crop edges and the granaries count a thinner year,true,INVENTED,INVENTED glue on notes L15;L104 (the drought breaking the land); wb §4.1
fever_in_the_quarters,Fever in the Quarters,illness,drought_gte:1;chance:10,the crowded river quarters; exorcists; amulet sellers,fever moves house to house in the poor quarters; the sick send for exorcists and wear amulets — for in this land much of medicine is the driving out of demons,true,INVENTED,INVENTED glue on wb §8.1; notes L196 (much of medicine consisted of exorcisms); L197 (amulets/talismans)
lamashtu_at_the_cradle,The Demoness at the Cradle,illness,chance:14,infants and their mothers; the exorcist; the amulet-maker,infants sicken in the nights and mothers cry out against the demoness who preys on the newborn; a flour line is laid at the door and the cradle wears a demon-warding amulet,true,A,the Lamaštu tradition — demoness preying on infants; warded by amulets and plaques (attested in the cuneiform incantation corpus and the archaeological record)
comet_over_the_lighthouse,A Comet over the Great Lighthouse,omens,chance:20,stargazers on the lighthouse; diviners; the frightened crowd,a hairy star drags its tail across the night sky; diviners read it by aeromancy and the crowd whispers that the world nears another age — one more violent and chaotic than the last,true,INVENTED,INVENTED glue on wb §8.2; notes L203 (aeromancy — cosmological events such as comets; meteormancy); wb §1; notes L23 (the verge of another age)
lunar_eclipse_terror,The Moon Devoured,omens,chance:25,the temple of sun and moon; the diviners; the powerful,the moon darkens over the city of the moon and the city holds its breath; diviners are mobbed for readings and the powerful ask what the eclipse means for kings,true,A,lunar-eclipse omens of Enūma Anu Enlil (the Mesopotamian celestial omen corpus)
rebel_agents_agitate,Patriot Agents in the Streets,politics,war_gte:1;chance:9,agents of the rebellious alliance; the imperial garrison; tavern crowds,agents of the southern alliance speak of liberty from the Empire in the markets and taverns; the garrison listens harder than the crowd and names are remembered,false,INVENTED,INVENTED glue on notes L15 (the south tears up the empire with patriotism and liberty); L52; wb §4.2;§5
serpent_rumours,Whispers of the Serpent,politics,chance:30,a stranger in the temple colonnade; the worthy and the curious; the garrison's informers,a stranger asks riddling questions of the flood and the five first cities and is gone before an answer; informers hunt a hidden order that works in the background of men's affairs,true,INVENTED,INVENTED glue on wb §1-2; notes L23;L25-26 (the flood; the five first cities; a priestly secret order working in the background)
eastern_raiders_pillage,Raiders in the Region,war,drought_gte:1;war_gte:1;chance:8,eastern raider warbands; outlying villages; the city militia,warbands out of the eastern mountains burn a village and drive off herds; smoke stands over the region and the militia musters behind the walls,true,INVENTED,INVENTED glue on notes L15 (foreigners from the east raid and pillage as the drought breaks the world); L20-21; wb §4.3
southern_levy_mustered,The Southern Levy Musters,war,war_gte:2;chance:10,the alliance's citizen levy; the Prophet; drill masters,the rebel alliance calls its levy to the fields outside the walls and the Prophet blesses the spears; traders grumble and the young leave the quays for the drill yard,true,INVENTED,INVENTED glue on notes L19 (unite the city states; push back the invading barbarians); L52; wb §4.2;§5
harvest_market_surge,The Harvest Market Surge,economy,season:harvest;chance:10,market stalls; farmers; the temple stores,the market fills with the reaping's bounty and prices dip as the carts arrive,true,INVENTED,INVENTED (D-012 authored glue); canon anchor notes L57 (growing and reaping); season ids per D-015
