Name,name,slot,skill,damage_type,damage,reach_cm,speed,weight_g,balance,durability,quality,zones,layer,prot_cut,prot_pierce,prot_blunt,block,stamina,heat,material_tier,ammo,culture,tag,source_ref
flint_dagger,Flint dagger,melee,blades,pierce,6,40,9,200,7,40,40,,,0,0,0,0,2,0,flint,,river lands,A,"flint blades and knives beside copper in Chalcolithic and Early Bronze Age Mesopotamian assemblages (Uruk-period flint knives; flint sickle-blades stayed in use in Sumer); mechanics.md row 29 (the flint tier); stats INVENTED (W4-B, D-018)"
copper_dagger,Copper dagger,melee,blades,pierce,8,40,9,300,7,120,50,,,0,0,0,0,2,0,copper,,river lands,A,"Royal Cemetery of Ur (copper daggers among the grave goods; the gold dagger of PG 580 as the royal form); mechanics.md row 29; stats INVENTED (W4-B, D-018)"
iron_dagger,Iron dagger (a prestige curiosity),melee,blades,pierce,9,40,9,300,8,180,70,,,0,0,0,0,2,0,iron,,the_empire,A,"the gold-hilted iron dagger of Alaca Höyük (Anatolia, later 3rd millennium BC); Old Assyrian Kültepe letters (amūtum iron traded at many times the price of silver); mechanics.md row 29 (iron as a prestige curiosity); stats INVENTED (W4-B, D-018)"
arsenical_bronze_axe,Socketed axe (arsenical bronze),melee,axes,cut,15,80,5,1400,4,160,50,,,0,0,0,0,4,0,arsenical,,river lands,A,"Royal Cemetery of Ur (socketed axe-heads); the Standard of Ur (infantry armed with axes); arsenical copper as the common Early Bronze alloy of the Near East; stats INVENTED (W4-B, D-018)"
stone_mace,Stone-headed mace,melee,maces,blunt,12,70,5,1200,4,200,50,,,0,0,0,0,4,0,flint,,river lands,A,"pear-shaped stone mace-heads of the Uruk and Early Dynastic periods (e.g. the dedicated mace-head of Mesilim king of Kish); stats INVENTED (W4-B, D-018)"
copper_mace,Copper-headed mace,melee,maces,blunt,14,70,5,1500,4,240,50,,,0,0,0,0,4,0,copper,,river lands,A,"cast copper mace-heads of the Chalcolithic Near East (the Nahal Mishmar hoard); mace-heads dedicated in Mesopotamian temples; stats INVENTED (W4-B, D-018)"
copper_spear,Copper-headed spear,melee,spears,pierce,13,200,6,1800,6,140,50,,,0,0,0,0,3,0,copper,,river lands,A,"Stele of the Vultures (Eannatum's Lagash phalanx with levelled spears); copper spearheads from the Royal Cemetery of Ur; stats INVENTED (W4-B, D-018)"
tin_bronze_sickle_sword,Sickle-sword (tin bronze),melee,blades,cut,14,70,6,1100,5,200,55,,,0,0,0,0,3,0,tin_bronze,,the_empire,A,"the bronze sickle-sword inscribed for the Assyrian king Adad-nirari I (Metropolitan Museum of Art); the curved sickle-sword in the hands of gods and kings on Mesopotamian seals and stelae; tin bronze as the top tier of mechanics.md row 29; stats INVENTED (W4-B, D-018)"
javelin,Javelin,ranged,spears,pierce,11,3000,6,800,6,60,50,,,0,0,0,0,3,0,copper,javelin,river lands,A,"the Standard of Ur (quivers of javelins on the battle-wagons); stats INVENTED (W4-B, D-018)"
composite_bow,Composite bow,ranged,bows,pierce,12,15000,6,1000,6,120,55,,,0,0,0,0,3,0,organic,arrow,the_empire,A,"the Victory Stele of Naram-Sin (the Akkadian king bears the composite bow); stats INVENTED (W4-B, D-018)"
sling,Sling,ranged,slings,blunt,8,10000,7,100,6,60,50,,,0,0,0,0,2,0,organic,sling_bullet,river lands,A,"clay sling bullets by the thousand at Tell Hamoukar (c. 3500 BC); stats INVENTED (W4-B, D-018)"
tower_shield,Great rectangular shield,shield,shields,,0,0,0,7000,0,150,50,,,0,0,0,30,4,1,organic,,river lands,A,"Stele of the Vultures (the Lagash phalanx advancing behind great rectangular shields studded with bosses); stats INVENTED (W4-B, D-018)"
round_hide_shield,Round hide shield of the hill peoples,shield,shields,,0,0,0,3000,0,110,50,,,0,0,0,20,2,0,organic,,the_barbarians,INVENTED,"INVENTED (W4-B; D-018, D-021): the cultural shield of the eastern barbarians (mechanics.md row 30 cultural shields; factions.csv the_barbarians); ledger docs/proposals/invented-ledger-combat.md #3"
reed_wicker_shield,Woven reed shield of the southern marshes,shield,shields,,0,0,0,2000,0,80,50,,,0,0,0,18,2,0,organic,,neo_sumerian_rebellion,INVENTED,"INVENTED (W4-B; D-018, D-021): the rebels' cultural shield, woven from the reeds of the southern marshes (mechanics.md row 30; factions.csv neo_sumerian_rebellion); ledger docs/proposals/invented-ledger-combat.md #3"
leather_cap,Leather cap,armour,,,0,0,0,400,0,80,50,head,over,3,2,3,0,0,1,leather,,river lands,INVENTED,INVENTED (W4-B; D-018): the common man's head protection (mechanics.md row 30); ledger docs/proposals/invented-ledger-combat.md #4
copper_helmet,Copper helmet,armour,,,0,0,0,1500,0,200,50,head,over,8,7,5,0,1,2,copper,,river lands,A,"the copper helmets of the soldiers buried in the Royal Cemetery of Ur (the Great Death Pit); the helmeted infantry of the Standard of Ur and the Stele of the Vultures; stats INVENTED (W4-B, D-018)"
quilted_linen_tunic,Quilted linen tunic,armour,,,0,0,0,1500,0,90,50,torso;arms,under,3,2,3,0,0,2,linen,,river lands,INVENTED,"INVENTED (W4-B; D-018): the padded under-layer (mechanics.md row 30, two layers); linen as the river lands' cloth; ledger docs/proposals/invented-ledger-combat.md #4"
studded_leather_cloak,Leather cloak studded with metal discs,armour,,,0,0,0,4000,0,150,50,torso,over,5,4,3,0,1,3,leather,,river lands,A,"the Standard of Ur (the phalanx wears cloaks set with metal discs); stats INVENTED (W4-B, D-018)"
copper_scale_coat,Scale coat (copper-bronze scales on leather),armour,,,0,0,0,12000,0,300,50,torso;arms,over,10,8,4,0,3,6,tin_bronze,,the_empire,A,"the bronze armour scales and the scale-coat inventories of Nuzi (Late Bronze Age); stats INVENTED (W4-B, D-018)"
leather_leg_wraps,Leather leg wraps,armour,,,0,0,0,1000,0,80,50,legs,over,3,2,2,0,0,1,leather,,river lands,INVENTED,"INVENTED (W4-B; D-018): the legs' only common cover (mechanics.md row 30, four zones); ledger docs/proposals/invented-ledger-combat.md #4"
