id,city,district,kind,building_id,owner_person_id,name,description,quarter,typology,wealth,x_m,y_m,yaw_deg,w_m,d_m,tag,source_ref
moon_gate_place,city_of_the_moon,The Moon Gate & the Caravan Yard,gate,city_gate,,The Moon Gate,"The street's gate into the city; opens at dawn and shuts at dusk, the night watch relieved and carts queued outside counted in.",moon_gate_quarter,city_gate,civic,103.6,-11.5,103.0,16,10,INVENTED,INVENTED (D-018); buildings.csv city_gate; schedules.csv gates_open_at_dawn;gates_close_at_dusk
gate_watch_post_place,city_of_the_moon,The Moon Gate & the Caravan Yard,watch post,watch_post,,The Gate Watch Post,Where the night watch mounts the wall and the three watches turn until dawn.,moon_gate_quarter,watch_post,civic,134.7,-8.2,105.0,7,6,INVENTED,INVENTED (D-018); buildings.csv watch_post; schedules.csv watchmen_night_patrol;deep_watch
gate_toll_house_place,city_of_the_moon,The Moon Gate & the Caravan Yard,toll house,,,The Toll House,Toll table with scales under an awning.,moon_gate_quarter,toll_house,civic,133.3,0.2,100.5,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv toll_house
caravan_yard_place,city_of_the_moon,The Moon Gate & the Caravan Yard,caravan yard and inn,,,The Caravan Yard and Road Inn,Walled court with donkey lines troughs and a guest gallery.,moon_gate_quarter,caravan_yard,modest,126.1,16.0,92.0,22,16,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv caravan_yard
brewery_tavern_place,city_of_the_moon,The Moon Gate & the Caravan Yard,brewery/tavern,brewery_tavern,ur_lisi_brewer,The Reed-Straw House,"A brewhouse and drinking room; beer fermented in great vats and drunk through reed straws, sacred to Ninkasi.",moon_gate_quarter,beerhouse,modest,130.5,34.9,82.2,11,9,INVENTED,INVENTED (D-018); foods.csv barley_beer; items.csv beer
prison_barracks_place,city_of_the_moon,The Moon Gate & the Caravan Yard,quayside prison barracks,,,The Quayside Prison Barracks,Guarded yard with shackles and a holding room.,moon_gate_quarter,prison_barracks,civic,100.8,5.4,96.0,14,9,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv prison_barracks
donkey_stables_place,city_of_the_moon,The Moon Gate & the Caravan Yard,donkey stables,,,The Donkey Stables,Reed-roofed pens and fodder.,moon_gate_quarter,stable,poor,100.0,20.6,89.8,12,7,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv stable
street_well_place,city_of_the_moon,The Moon Gate & the Caravan Yard,well,,,The Street Well,Where the water-carriers draw the day's water at the coolest hour; every jar counted in the drought.,moon_gate_quarter,well_house,civic,100.4,31.0,85.5,5,5,INVENTED,INVENTED (D-018); schedules.csv water_carriers_draw; wb §4.1 (the drought that is breaking the world)
elder_house_1_place,city_of_the_moon,The Moon Gate & the Caravan Yard,house,mudbrick_house_modest,huzalatum_household_elder,Huzalatum's House,A modest household headed by an elder of the street.,moon_gate_quarter,home_modest,modest,101.4,39.5,82.0,8,7,INVENTED,INVENTED (D-018)
elder_house_2_place,city_of_the_moon,The Moon Gate & the Caravan Yard,house,mudbrick_house_modest,amat_shamash_household_elder,Amat-Shamash's House,A modest household headed by an elder of the street.,moon_gate_quarter,home_modest,modest,75.3,-24.1,105.0,8,7,INVENTED,INVENTED (D-018)
gate_tenement_place,city_of_the_moon,The Moon Gate & the Caravan Yard,tenement court,,,The Gate Tenement,Many doors round one shared court and oven.,moon_gate_quarter,home_tenement,poor,74.1,-12.2,101.0,12,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_tenement
moon_gate_quarter_home_1_place,city_of_the_moon,The Moon Gate & the Caravan Yard,poor one-room house,,,Poor one-room house,Rough plaster a reed door and a quern outside.,moon_gate_quarter,home_hut,poor,69.9,-1.6,97.2,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_hut
moon_gate_quarter_home_2_place,city_of_the_moon,The Moon Gate & the Caravan Yard,poor one-room house,,,Poor one-room house,Rough plaster a reed door and a quern outside.,moon_gate_quarter,home_hut,poor,69.0,6.5,94.5,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_hut
moon_gate_quarter_home_3_place,city_of_the_moon,The Moon Gate & the Caravan Yard,poor one-room house,,,Poor one-room house,Rough plaster a reed door and a quern outside.,moon_gate_quarter,home_hut,poor,68.6,14.8,91.8,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_hut
market_square_place,city_of_the_moon,The Crescent Market,market,,,The Market Square,The open square where the street's stalls set out each morning; the richest trade of the City of the Moon passes through here.,crescent_market,market_square,civic,131.9,53.0,73.0,20,14,INVENTED,INVENTED (D-018); wb §5 (hub of trade and scholarship); notes L52
stall_grain_place,city_of_the_moon,The Crescent Market,market stall,market_stall,ea_nasir_grain_trader,Ea-nasir's Grain Stall,"Grain and barley weighed out under an awning; the stall the temple's debt-collector is sent to, its keeper known for laughing at temple marks.",crescent_market,market_stall,modest,141.9,65.2,65.2,5,4,INVENTED,INVENTED (D-018); quests.csv the_priestess_debt; items.csv grain
stall_salt_oil_place,city_of_the_moon,The Crescent Market,market stall,market_stall,waqurtum_salt_oil_trader,Waqurtum's Salt and Oil Stall,Salt from the southern marshes and pressed sesame oil sold by measure.,crescent_market,market_stall,modest,144.9,71.1,61.8,5,4,INVENTED,INVENTED (D-018); items.csv salt;sesame_oil
stall_pottery_place,city_of_the_moon,The Crescent Market,market stall,market_stall,baranamtarra_pottery_trader,Baranamtarra's Pottery Stall,"Plain wheel-thrown wares stacked for sale: jars, bowls, lamps.",crescent_market,market_stall,modest,148.4,77.2,58.0,5,4,INVENTED,INVENTED (D-018); items.csv pottery
stall_cloth_place,city_of_the_moon,The Crescent Market,market stall,market_stall,iltani_cloth_trader,Iltani's Cloth Stall,Woolen and linen cloth folded on the counter for the street's households.,crescent_market,market_stall,modest,152.1,82.7,54.5,5,4,INVENTED,INVENTED (D-018); items.csv woolen_cloth;linen_cloth
stall_produce_place,city_of_the_moon,The Crescent Market,market stall,market_stall,matatum_produce_trader,Matatum's Produce Stall,"Dates, onions, garlic and leeks piled in baskets.",crescent_market,market_stall,modest,156.1,88.0,51.0,5,4,INVENTED,INVENTED (D-018); foods.csv dates;onions_garlic_leeks
stall_dates_place,city_of_the_moon,The Crescent Market,market stall,market_stall,,The Date Stall,A counter under a dyed awning with the goods on show.,crescent_market,market_stall,modest,160.7,93.3,47.2,5,4,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv market_stall
stall_spices_place,city_of_the_moon,The Crescent Market,market stall,market_stall,,The Spice and Herb Stall,A counter under a dyed awning with the goods on show.,crescent_market,market_stall,modest,165.7,98.3,43.5,5,4,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv market_stall
stall_leather_place,city_of_the_moon,The Crescent Market,market stall,market_stall,,The Leather Goods Stall,A counter under a dyed awning with the goods on show.,crescent_market,market_stall,modest,170.9,103.0,39.8,5,4,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv market_stall
