Name,name,city,kind,terrain,direction,x_m,y_m,danger,camp_site,edge_to,loot,risks,restock_days,description,tag,source_ref
river_road_place,The River Road,city_of_the_moon,road,plains,north-east,1125,900,2,false,,,,0,"The raised earth road that follows the river bank north-east out of the fields; carts, donkeys and the caravans from the north come this way.",INVENTED,INVENTED (D-018; D-021 wild lands); wb §5 (the City of the Moon: hub of trade); mechanics.md row 31 (transport); notes L52
riverbank_reeds_place,The Reed Banks,city_of_the_moon,riverbank,river,north,300,1125,2,false,,,,0,Tall reed beds along the river where the fishermen beach their reed boats and cut reeds for mats; lions have been heard in the reeds at dusk.,INVENTED,INVENTED (D-018; D-021 wild lands); wb §3 (the two waters; boats); mechanics.md row 31 (boats); notes L57
canal_head_place,The Canal Head,city_of_the_moon,field,irrigated plain,north-east,1650,1350,2,false,,,,0,The sluice where the great irrigation canal leaves the river; the barley plots beyond it depend on its gate being opened in the drought.,INVENTED,INVENTED (D-018; D-021 wild lands); wb §3 (farmers harvesting wheat and barley); wb §4.1 (the drought that is breaking the world); notes L57;L15
date_grove_place,The Date Grove,city_of_the_moon,field,orchard,north-west,-450,900,1,false,,,,0,"Walled date palms and the shade-gardens beneath them, owned by households of the street; pickers climb the palms in the vintage.",INVENTED,INVENTED (D-018; D-021 wild lands); foods.csv dates; seasons.csv vintage
northern_ford_place,The Northern Ford,city_of_the_moon,riverbank,river,north,-150,1800,3,false,,,,0,Where the river runs shallow enough to wade in the dry months; herders and smugglers cross here away from the gate's count.,INVENTED,INVENTED (D-018; D-021 wild lands); wb §4.1 (the drought); mechanics.md row 36 (journeys)
tell_ruins_place,The Tell of the Old Town,city_of_the_moon,ruin,mound,north-west,-1125,1950,5,true,,pottery:6;clay_liver_model:1;copper_ingots:1,collapse:1500;snake:1500,120,"A grassed-over mound of an older town, its mudbrick walls slumped into hummocks; broken rooms under the crest give shelter to whoever does not want to be found.",INVENTED,INVENTED (D-018; D-021 wild lands); regions.csv south plan 2 (remains of old communities; abandoned towns); wb §7; notes L143
southern_marsh_place,The Southern Marsh,city_of_the_moon,marsh,swamp,south-east,1350,-1200,4,false,,,,0,"The edge of the swamps: channels between reed walls, buffalo wallows and fowlers' platforms. The sage of the swamps is said to have walked here.",INVENTED,INVENTED (D-018; D-021 wild lands); wb §4.2 (the mysterious sage of the swamps); regions.csv west plan 1 (swamps/wetlands); notes L19
reed_islands_place,The Reed Islands,city_of_the_moon,marsh,swamp,south-east,1950,-1650,6,true,,,,0,"Floating islands of cut reed deep in the marsh, reachable only by boat or by those who know the paths; a place for runaways and debtors to vanish.",INVENTED,INVENTED (D-018; D-021 wild lands); wb §4.2; mechanics.md row 12 (outlawry: stateless outside any city's protection)
old_tombs_place,The Old Graves,city_of_the_moon,tomb,desert fringe,south-west,-750,-900,4,false,,gold:2;lapis_lazuli:3;pottery:4;underworld_ritual_scroll:1,collapse:1000;jackals:1500;restless_dead:3000,0,"The old burial ground beyond the wall: shaft graves of forgotten households and a few great tombs of the city's first rulers, robbed more than once.",INVENTED,INVENTED (D-018; D-021 wild lands); A: the Royal Cemetery of Ur (Woolley's excavations) lies beside the city of Ur; D-018 (City of the Moon = Ur); events.csv royal_tomb_violated
desert_edge_place,The Desert Edge,city_of_the_moon,desert_edge,desert,south-west,-1350,-1350,5,false,,,,0,Where the last irrigated plot gives up to gravel and sand; the wind off the south carries grit and the smell of nothing.,INVENTED,INVENTED (D-018; D-021 wild lands); regions.csv south (endless desert; only death reigns here); wb §7; notes L136-143
desert_caverns_place,The Rocky Caverns,city_of_the_moon,cave,desert,south-west,-1800,-900,6,true,,bronze_sickle:1;astragal_casting_lot:2;copper_ingots:1,collapse:2000;snake:2000;jackals:1500,90,"A low scarp of rotten rock riddled with caverns; cool by day and dark by night, the dens of jackals and of men who live by what passes on the road.",INVENTED,INVENTED (D-018; D-021 wild lands); regions.csv south plan 1 (rocky caverns); wb §7; notes L137
suti_wells_place,The Sutean Wells,city_of_the_moon,desert_edge,desert,south-west,-1950,-1950,7,true,city_of_the_abyss,,,0,"Three brackish wells at the map's southern rim, the last water before the open desert; the Suti water their animals here when they come north.",INVENTED,"INVENTED (D-018; D-021 wild lands); factions.csv suti (reign alone in the South); regions.csv south plan 2; notes L143; A: the Suteans, steppe nomads of the Old Babylonian texts"
eastern_road_place,The Eastern Road,city_of_the_moon,road,plains,east,2100,300,4,false,,,,0,"The road east toward the mountains, rutted by carts and scattered with the leavings of those fleeing west.",INVENTED,INVENTED (D-018; D-021 wild lands); wb §4.1 (foreigners from the east raid and migrate into the Empire); wb §4.3; notes L15;L20-21
eastern_waystation_place,The Eastern Waystation,city_of_the_moon,road,plains,east,2700,450,5,false,city_of_the_warrior_spirit,,,0,"A walled caravan halt at the map's eastern rim, half its rooms empty since the raids began; beyond it the road runs on toward the mountains.",INVENTED,INVENTED (D-018; D-021 wild lands); wb §4.3 (the Barbarians: new lands in the west); cities.csv city_of_the_warrior_spirit; mechanics.md row 36 (journeys)
shrine_ruins_place,The Broken Shrine,city_of_the_moon,ruin,plains,south-east,2400,-450,6,true,,warding_amulet:2;different_types_of_flour:2;pottery:3,collapse:1500;snake:1000,120,"A roadside shrine to a forgotten god, its roof fallen in; ash in the old offering pit says someone camps here again.",INVENTED,INVENTED (D-018; D-021 wild lands); regions.csv south plan 2 (the War Age's claw marks: abandoned towns); wb §1;§7; notes L143
