Name,name,category,culture,material,producer,price_band,tag,source_ref
grain,Grain (barley — the base good),staple,river lands,barley,the fields and granaries of the river lands,1,CANON,wb §3; notes L57 (the natives reaped fields of wheats and barley); DECISIONS.md D-011 (the economy's base-good id grain binds here)
wheat,Wheat,staple,river lands,wheat,the fields of the river lands,1,CANON,wb §3; notes L57
fish,Fish,food and offering material,river lands,fish,the fishers of the rivers and lagoons,1,CANON,wb §3; notes L57 (offered to the deities of salt and fresh water)
sea_gems,Sea Gems,divine offering material,southern boat folk,"gems of the sea, found on the shore; formed in platonic shapes of sea materials (coral, seaweed) — gifts of Enki, extensions of the god of magic's power",the sea itself — the god of magic (designer ruling D-016),4,CANON,wb §3; notes L57 (the first great temple offered the two waters sacrifices of fish and sea gems); designer ruling 2026-09-25 (D-016)
gold,Gold,precious metal,the_empire,gold,the tribute and plunder of the conquered lands,5,CANON,wb §4.1; notes L15 (conquest for tribute and gold); notes L19 (the lust for gold and treasures)
underworld_ritual_scroll,Ritual scroll of underworld spirits,ritual good,city_of_the_dead,inscribed scroll,the dead cult's scribes at the City of the Dead,4,CANON,wb §5; notes L44 (the biggest assortment of ritual scrolls for communicating with underworld spirits)
warding_amulet,Warding amulet (talisman),ritual good,river lands,worn charms (the material is unwritten),the amulet-makers of the river cities,2,CANON,wb §8.1; notes L197 (worn to repel demons and bad spirits)
different_types_of_flour,Zisurru ritual flours,ritual good,river lands,different types of flour (the notes' own words),the mills of the cities,1,CANON,wb §8.1; notes L198 (protecting people and places with different types of flour; gloss SAG.BA.SAG.BA); id per the rites-material normalization (DECISIONS.md D-011; rites.csv zisurru_warding)
astragal_casting_lot,Astragalomancy casting lot,ritual tool,river lands,dice or any other items (the notes' own words),the diviners of the river cities,2,CANON,wb §8.2; notes L200 (roll dice or any other items to see what the future holds)
dates,Dates,staple food,river lands,date-palm fruit,the date-palm gardens of the river cities,1,A,the Ur III administrative record (dates issued alongside barley as the standard ration)
sesame_oil,Sesame oil,oil,river lands,pressed sesame,the oil-pressers of the river cities,2,A,the Ur III administrative record (sesame oil as ration and temple commodity)
salt,Salt,staple trade good,river lands,sea and marsh salt,the salt-pans of the southern marshes,1,A,the Mesopotamian administrative record (salt as temple and ration commodity of the southern marshes)
wool,Wool,raw staple,river lands,sheep fleece,the temple flocks of the south,1,A,the Lagash and Ur III temple-flock record (wool as the great institutional staple)
woolen_cloth,Woolen cloth,textile trade good,river lands,woven wool,the weaving workshops of the temples,2,A,the Ur III workshop record and the Old Assyrian karum trade (textiles as the caravan export)
linen_cloth,Linen cloth,textile trade good,river lands,woven flax,the flax fields and temple weavers of the river cities,3,A,the Early Dynastic and Ur III record (flax linen as priestly and royal cloth)
beer,Barley beer,staple drink,river lands,brewed barley,the city breweries (temple and palace),1,A,the Sumerian ration record (beer as the daily wage-ration; the Hymn to Ninkasi)
pottery,Plain pottery wares,everyday ware,river lands,wheel-thrown clay,the potters' quarters of every city,1,A,the archaeological record of the river cities (wheel-made plain wares as everyday containers)
copper_ingots,Copper ingots,metal trade good,river lands,raw copper,sea-borne imports up the Gulf (the City of the Moon's direct sea routes — wb §5),3,A,the Ur III and Mari trade record (copper of Magan and Dilmun shipped up the Gulf)
tin,Tin,metal trade good,river lands,raw tin,overland caravans from the eastern mountains,4,A,the Old Assyrian karum record and the Mari archives (tin caravanned for bronze-making)
bronze_sickle,Bronze sickle,tool,river lands,bronze (copper and tin),the bronzesmiths of the river cities,2,A,the archaeological record of the harvest (bronze sickles reaping the barley fields)
lapis_lazuli,Lapis lazuli,luxury stone,river lands,deep-blue stone,overland from the eastern mountains through Mari's roads,5,A,the long-distance trade record (lapis of the eastern mountains traded through Mari and the river cities)
pack_donkey,Pack donkey,caravan animal,river lands,living animal,the plains' breeders and the caravan houses,3,A,the Old Assyrian karum record (donkey caravans linking the lands)
drought_ration_measure,Drought ration measure,ration,river lands,measured barley,the city granaries,1,INVENTED,authored glue; the drought that is breaking the world is canon (wb §4.1; notes L15;L104); the ration machinery per DECISIONS.md D-011 (economy constants)
moon_temple_offering_set,Offering basket of the temple of sun and moon,ritual good,city_of_the_moon,grain; dates; sesame oil; woolen cloth,the temple household of the City of the Moon,2,INVENTED,authored glue; the temple of sun and moon is canon (wb §5; notes L52); its offering composition is invented (its materials normalize to this table's ids: grain; dates; sesame_oil; woolen_cloth)
tribute_gems,Tribute gems,tribute,the_empire,gems — the tribute basket's glitter,mined and gathered in the conquered lands,4,CANON,designer ruling 2026-09-25 (D-016)
tribute_fruits,Tribute fruits,tribute,the_empire,fruits of the conquered orchards,the conquered lands' orchards,3,CANON,designer ruling 2026-09-25 (D-016)
tribute_white_liquid,The strange white liquid,tribute,the_empire,a bottle of a strange white liquid — the basket's mystery,(unwritten — the designer keeps it strange),5,CANON,designer ruling 2026-09-25 (D-016): 'gems and fruits and bottle of a strange white liquid'
water,Fresh water,staple ingredient,river lands,water drawn from river or well,the rivers and wells of the river lands,1,A,Old Babylonian culinary recipe tablets (Yale Babylonian Collection; published by Jean Bottéro — water as the base of every broth and dough); T4 crafting chain (recipes.csv)
barley_flour,Barley flour,staple ingredient,river lands,barley ground fine,the mills and querns of the river cities,1,A,Ur III temple and palace ration lists and lexical lists (barley ground in stone querns for bread; db/canon/foods.csv barley_bread)
malted_barley,Malted barley,staple ingredient,river lands,sprouted and dried barley,the maltsters of the river cities,1,A,Sumerian Hymn to Ninkasi (Old Babylonian copies; barley malted for brewing; db/canon/foods.csv barley_beer)
bappir,Bappir (beer-bread),staple ingredient,river lands,part-baked malted barley loaves,the bakeries and breweries of the river cities,1,A,Sumerian Hymn to Ninkasi (Old Babylonian copies; malted barley part-baked into bappir loaves; db/canon/foods.csv barley_beer)
bread,Barley bread,staple baked food,river lands,barley flour; water,the bakeries of the river cities,1,A,Ur III temple and palace ration lists (bread issued to labourers alongside beer; db/canon/foods.csv barley_bread)
quern,Stone quern,station,river lands,stone,the mills of the river cities,2,A,the archaeological record of the river cities (stone querns for grinding grain into flour; db/canon/foods.csv barley_bread)
oven,Clay oven,station,river lands,fired clay,the bakeries of the river cities,2,A,Ur III temple and palace ration lists (flat loaves baked in clay ovens; db/canon/foods.csv barley_bread)
brewing_vat,Brewing vat,station,river lands,fired clay or wood,the breweries of the river cities,3,A,Sumerian Hymn to Ninkasi (Old Babylonian copies; beer fermented in great vats; db/canon/foods.csv barley_beer)
zisurru_incantation_tablet,Zisurru incantation tablet,ritual text,river lands,inscribed clay tablet,the tablet house's copyists for the temple's exorcist-physicians,3,INVENTED,INVENTED (K-1; D-018): the text a performer reads to learn rites.csv zisurru_warding (wb §8.1; notes L198); grounded in the real Mesopotamian exorcists' incantation tablets that prescribe flour circles (zisurru) — the notes import the practice; teaching link in rite_teachings.csv
clay_liver_model,Clay liver model,ritual text,river lands,fired clay modelled as a sheep's or goat's liver and inscribed with omens,the diviners' schools,3,A,"Old Babylonian clay liver models used to teach extispicy (e.g. the Sippar/Babylon model, British Museum BM 92668; the Mari liver models) — the notes import barutu (wb §8.1-8.2; notes L192;L202); teaching link in rite_teachings.csv (INVENTED, K-1)"
