Name,city,district,kind,building_id,owner_person_id,name,description,tag,source_ref
moon_gate_place,city_of_the_moon,Moon Gate Quarter,gate,city_gate,,The Moon Gate,"The street's gate into the city; opens at dawn and shuts at dusk, the night watch relieved and carts queued outside counted in.",INVENTED,INVENTED (D-018); buildings.csv city_gate; schedules.csv gates_open_at_dawn;gates_close_at_dusk
gate_watch_post_place,city_of_the_moon,Moon Gate Quarter,watch post,watch_post,,The Gate Watch Post,Where the night watch mounts the wall and the three watches turn until dawn.,INVENTED,INVENTED (D-018); buildings.csv watch_post; schedules.csv watchmen_night_patrol;deep_watch
market_square_place,city_of_the_moon,Moon Gate Quarter,market,,,The Market Square,The open square where the street's stalls set out each morning; the richest trade of the City of the Moon passes through here.,INVENTED,INVENTED (D-018); wb §5 (hub of trade and scholarship); notes L52
stall_grain_place,city_of_the_moon,Moon Gate Quarter,market stall,market_stall,ea_nasir_grain_trader,Ea-nasir's Grain Stall,"Grain and barley weighed out under an awning; the stall the temple's debt-collector is sent to, its keeper known for laughing at temple marks.",INVENTED,INVENTED (D-018); quests.csv the_priestess_debt; items.csv grain
stall_salt_oil_place,city_of_the_moon,Moon Gate Quarter,market stall,market_stall,waqurtum_salt_oil_trader,Waqurtum's Salt and Oil Stall,Salt from the southern marshes and pressed sesame oil sold by measure.,INVENTED,INVENTED (D-018); items.csv salt;sesame_oil
stall_pottery_place,city_of_the_moon,Moon Gate Quarter,market stall,market_stall,baranamtarra_pottery_trader,Baranamtarra's Pottery Stall,"Plain wheel-thrown wares stacked for sale: jars, bowls, lamps.",INVENTED,INVENTED (D-018); items.csv pottery
stall_cloth_place,city_of_the_moon,Moon Gate Quarter,market stall,market_stall,iltani_cloth_trader,Iltani's Cloth Stall,Woolen and linen cloth folded on the counter for the street's households.,INVENTED,INVENTED (D-018); items.csv woolen_cloth;linen_cloth
stall_produce_place,city_of_the_moon,Moon Gate Quarter,market stall,market_stall,matatum_produce_trader,Matatum's Produce Stall,"Dates, onions, garlic and leeks piled in baskets.",INVENTED,INVENTED (D-018); foods.csv dates;onions_garlic_leeks
cookshop_place,city_of_the_moon,Moon Gate Quarter,cook-shop,market_stall,shamash_hazir_cookshop,The Noon Cook-shop,"Serves the noon meal to day-laborers, paid in bread and beer and barley.",INVENTED,INVENTED (D-018); schedules.csv cookshops_noon_meal
bakery_place,city_of_the_moon,Moon Gate Quarter,bakery,bakery,ur_shara_baker,The Street Bakery,Clay ovens fired before dawn; the street's barley bread comes out at sunrise.,INVENTED,INVENTED (D-018); schedules.csv baker_fires_the_oven; foods.csv barley_bread
brewery_tavern_place,city_of_the_moon,Moon Gate Quarter,brewery/tavern,brewery_tavern,ur_lisi_brewer,The Reed-Straw House,"A brewhouse and drinking room; beer fermented in great vats and drunk through reed straws, sacred to Ninkasi.",INVENTED,INVENTED (D-018); foods.csv barley_beer; items.csv beer
temple_front_place,city_of_the_moon,Moon Gate Quarter,temple,temple_of_sun_and_moon,,The Temple Front,"The street-facing porch of the temple of sun and moon, where the morning and evening offerings are sung and passers-by leave small gifts.",INVENTED,INVENTED (D-018); buildings.csv temple_of_sun_and_moon (CANON); schedules.csv sun_temple_morning_rite;moon_temple_evening_rite
scribes_house_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_courtyard,lu_nanna_scribe,The Scribe's House,Home and workroom of the street's scribe; wet tablets dry in racks by the door.,INVENTED,INVENTED (D-018); schedules.csv scribes_open_the_tablet_house
priestess_house_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_courtyard,enmenanna_priestess_moon,The Priestess's House,"Home of the temple's priestess, who owes a debt she cannot be seen chasing down herself.",INVENTED,INVENTED (D-018); quests.csv the_priestess_debt
bakers_house_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_modest,ur_shara_baker,The Baker's House,"The baker's family home, warm with the smell of the ovens next door.",INVENTED,INVENTED (D-018)
millers_house_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_modest,shesh_kalla_miller,The Miller's House,"The miller's family home, quern-dust on the threshold.",INVENTED,INVENTED (D-018)
potters_house_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_modest,nammahani_potter,The Potter's House,"The potter's home and yard, stacked with drying greenware.",INVENTED,INVENTED (D-018)
weavers_house_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_modest,kunshiatum_weaver,The Weaver's House,"The weaver's home, a loom set up in the courtyard shade.",INVENTED,INVENTED (D-018)
elder_house_1_place,city_of_the_moon,Moon Gate Quarter,house,mudbrick_house_modest,huzalatum_household_elder,Huzalatum's House,A modest household headed by an elder of the street.,INVENTED,INVENTED (D-018)
