id,name,kind,city_or_context,canon,tag,source_ref
temple_within_the_earth,The greatest temple built within the earth,temple,city_of_the_dead,home to a great statue of the queen of the underworld,CANON,wb §5; notes L44
garden_of_the_gods,The Garden of the Gods,temple,city_of_kings,biggest temple of all the gods; every aspect of creation is present,CANON,wb §5; notes L48
royal_catacombs,The royal catacombs,tombs,city_of_kings,massive underground catacombs where the greatest kings join the ancestors in the Kingdom of the Dead,CANON,wb §3;§5; notes L59
great_lighthouse,The Great Lighthouse,lighthouse,city_of_the_moon,makes the city a hub for trade and scholarship,CANON,wb §5; notes L52
temple_of_sun_and_moon,The temple of sun and moon,temple,city_of_the_moon,,CANON,wb §5; notes L52
sacred_hill,The sacred hill,shrines,city_of_the_sky,cult center of the Sky Father and the Lady of the Skies on top of it,CANON,wb §5; notes L46
first_great_temple,The first great temple,temple,the first great city (origin myth),temple to the deities of salt and fresh water; sacrifices of fish and sea gems,CANON,wb §3; notes L57
city_gate,The Moon Gate,gate,city_of_the_moon,"the gated entrance to the slice street of the City of the Moon; opens at dawn, shuts at dusk",INVENTED,INVENTED glue (D-018); grounded in schedules.csv gates_open_at_dawn;gates_close_at_dusk; wb §5 City of the Moon
watch_post,The Gate Watch Post,watch post,city_of_the_moon,"the watchmen's post by the gate, manned through the night patrol's three watches",INVENTED,INVENTED glue (D-018); grounded in schedules.csv watchmen_night_patrol;deep_watch
market_stall,Open Market Stall,market stall,city_of_the_moon,an awning-covered open stall on the market square where goods are weighed and sold,INVENTED,INVENTED glue (D-018); grounded in schedules.csv market_stalls_set_out;market_peaks_in_the_morning; wb §5 (hub of trade)
bakery,Street Bakery,bakery,city_of_the_moon,a clay-oven bakery producing the street's barley bread,INVENTED,INVENTED glue (D-018); grounded in schedules.csv baker_fires_the_oven; foods.csv barley_bread
brewery_tavern,Brewery and Tavern,brewery/tavern,city_of_the_moon,"a brewhouse and drinking room serving the street's barley beer, brewed as in the hymn to Ninkasi",INVENTED,INVENTED glue (D-018); grounded in foods.csv barley_beer; items.csv beer
mudbrick_house_modest,Modest Mudbrick House,house,city_of_the_moon,a one-room flat-roofed mudbrick house of the kind common to the river cities; home to the street's working residents,A,"archaeological record of southern Mesopotamian domestic architecture (mudbrick, flat roof, courtyard-less single room; Ur/Eridu excavation record); D-018 (fits the City of the Moon's river-city construction, wb §5)"
mudbrick_house_courtyard,Courtyard Mudbrick House,house,city_of_the_moon,"a larger mudbrick house built around a small courtyard, home to the street's literate and clerical residents",A,archaeological record of Old Babylonian courtyard houses (Ur residential-quarter excavation record); D-018
