id,name,group,habitats,hours,group_min,group_max,per_place,herd_share,model,tag,source_ref
fat_tailed_sheep,Fat-tailed sheep,herd,@cattle_pen;@pasture,06-19,1,1,0,0.55,fat_tailed_sheep,A,world-art-plan §8 (herds: the fat-tailed sheep of Sumer); INVENTED numbers
goat,Goat,herd,@cattle_pen;@pasture,06-19,1,1,0,0.30,goat,A,world-art-plan §8 (herds); INVENTED numbers
zebu_cattle,Zebu cattle,herd,@cattle_pen;@pasture,06-19,1,1,0,0.15,zebu_cattle,A,world-art-plan §8 (humped cattle); INVENTED numbers
donkey,Donkey,work,@stable;@caravan_yard;street_edge,06-19,1,3,2,0,donkey,A,world-art-plan §8 (the beast of burden); INVENTED numbers
kunga,Kunga,work,@warchief_tent;@envoys_house,06-19,1,2,1,0,kunga,A,world-art-plan §8; §10 (equids only with the eastern peoples and the elite)
mastiff_dog,Mastiff,city,street_edge;@watch_post,00-24,1,2,1,0,mastiff_dog,A,world-art-plan §8 (guard dogs); INVENTED numbers
saluki,Saluki,city,@envoys_house;@watch_post,06-20,1,2,1,0,saluki,A,world-art-plan §8 (hunting hounds of the great); INVENTED numbers
cat,Cat,city,yard;wall_foot;@granary;@temple_stores,00-24,1,1,1,0,cat,A,world-art-plan §8 (cats keep the stores); INVENTED numbers
pig,Pig,city,@home_hut,06-19,1,3,1,0,pig,A,world-art-plan §8 (pigs kept by the poor); INVENTED numbers
goose,Goose,water,shore;water,05-20,4,10,0,0,bird_goose,A,world-art-plan §8 (lagoon fowl); INVENTED numbers
duck,Duck,water,shore;water,05-20,5,14,0,0,bird_duck,A,world-art-plan §8 (lagoon fowl); INVENTED numbers
dove,Dove,bird_flock,precinct;roof,05-19,8,20,0,0,bird_dove,A,world-art-plan §8 (the goddess's doves over the precinct); INVENTED numbers
heron,Heron,bird_wader,water,05-20,1,3,0,0,bird_heron,A,world-art-plan §8 (marsh birds); INVENTED numbers
flamingo,Flamingo,bird_wader,water,05-19,20,40,0,0,bird_flamingo,A,world-art-plan §8 (marsh birds); INVENTED numbers
vulture,Vulture,bird_raptor,tombs,08-17,2,5,0,0,bird_vulture,A,world-art-plan §8 (over the dead); INVENTED numbers
crow,Crow,bird_flock,street_edge;open,05-19,3,8,0,0,bird_crow,A,world-art-plan §8 (street birds); INVENTED numbers
sparrow,Sparrow,bird_flock,street_edge;open,05-19,6,16,0,0,bird_sparrow,A,world-art-plan §8 (street birds); INVENTED numbers
jackal,Jackal,wild_night,tombs;camp,20-05,1,3,0,0,jackal,A,world-art-plan §8 (the night's scavengers); INVENTED numbers
frog,Frog,small,water,19-05,0,0,0,0,,A,world-art-plan §8 (heard not seen: a sound row for batch 5)
carp,Carp,water,water,05-20,3,8,0,0,fish_carp,A,world-art-plan §8 (fish that jump in the lagoon); INVENTED numbers
