id,name,category,culture,material,producer,price_band,tag,source_ref,ui_category,weight_g,stack_max,spoil_days,flags
grain,Grain (barley — the base good),staple,river lands,barley,the fields and granaries of the river lands,1,CANON,wb §3; notes L57 (the natives reaped fields of wheats and barley); DECISIONS.md D-011 (the economy's base-good id grain binds here),food,800,50,0,
wheat,Wheat,staple,river lands,wheat,the fields of the river lands,1,CANON,wb §3; notes L57,food,800,50,0,
fish,Fish,food and offering material,river lands,fish,the fishers of the rivers and lagoons,1,CANON,wb §3; notes L57 (offered to the deities of salt and fresh water),food,500,20,1,
sea_gems,Sea Gems,divine offering material,southern boat folk,"gems of the sea, found on the shore; formed in platonic shapes of sea materials (coral, seaweed) — gifts of Enki, extensions of the god of magic's power",the sea itself — the god of magic (designer ruling D-016),4,CANON,wb §3; notes L57 (the first great temple offered the two waters sacrifices of fish and sea gems); designer ruling 2026-09-25 (D-016),ritual,50,50,0,
gold,Gold,precious metal,the_empire,gold,the tribute and plunder of the conquered lands,5,CANON,wb §4.1; notes L15 (conquest for tribute and gold); notes L19 (the lust for gold and treasures),treasure,10,100,0,
underworld_ritual_scroll,Ritual scroll of underworld spirits,ritual good,city_of_the_dead,inscribed scroll,the dead cult's scribes at the City of the Dead,4,CANON,wb §5; notes L44 (the biggest assortment of ritual scrolls for communicating with underworld spirits),document,300,1,0,document
warding_amulet,Warding amulet (talisman),ritual good,river lands,worn charms (the material is unwritten),the amulet-makers of the river cities,2,CANON,wb §8.1; notes L197 (worn to repel demons and bad spirits),ritual,30,10,0,
different_types_of_flour,Zisurru ritual flours,ritual good,river lands,different types of flour (the notes' own words),the mills of the cities,1,CANON,wb §8.1; notes L198 (protecting people and places with different types of flour; gloss SAG.BA.SAG.BA); id per the rites-material normalization (DECISIONS.md D-011; rites.csv zisurru_warding),ritual,500,20,0,
astragal_casting_lot,Astragalomancy casting lot,ritual tool,river lands,dice or any other items (the notes' own words),the diviners of the river cities,2,CANON,wb §8.2; notes L200 (roll dice or any other items to see what the future holds),ritual,20,20,0,
dates,Dates,staple food,river lands,date-palm fruit,the date-palm gardens of the river cities,1,A,the Ur III administrative record (dates issued alongside barley as the standard ration),food,500,50,60,
sesame_oil,Sesame oil,oil,river lands,pressed sesame,the oil-pressers of the river cities,2,A,the Ur III administrative record (sesame oil as ration and temple commodity),ingredient,900,20,0,
salt,Salt,staple trade good,river lands,sea and marsh salt,the salt-pans of the southern marshes,1,A,the Mesopotamian administrative record (salt as temple and ration commodity of the southern marshes),trade_good,500,50,0,
