id,name,kind,ingredients,method,tag,source_ref
fields_of_wheat_and_barley,Fields of wheat and barley,staple grain crop,wheat; barley,grown and reaped from the earth by the nomads and few farmers of Urash before the boat folk came — their fields of wheats and barley; the land living simply and without much law,CANON,wb §3; notes L57
fish_of_the_two_waters,Fish of the two waters,ritual food offering,fish; sea gems (the paired offering),offered in sacrifice to the deities of salt and fresh water at the first great temple,CANON,wb §3; notes L57
barley_bread,Barley bread,staple baked food,barley flour; water; salt; date syrup or sesame oil for the fine loaves,barley ground in stone querns; kneaded and baked as flat loaves on hearth stones and in clay ovens; temple and palace workers issued bread as rations alongside beer,A,Mesopotamian cuneiform record: Ur III temple and palace ration lists (bread issued to labourers); lexical lists naming many bread varieties
barley_beer,Barley beer,staple drink,malted barley; bappir (beer-bread); water; date syrup for sweetness,barley malted and part-baked into bappir loaves; fermented in great vats; drunk unfiltered through reed straws from communal jars; the brew sacred to Ninkasi goddess of brewing,A,Sumerian Hymn to Ninkasi (Old Babylonian copies; brewing with bappir); Early Dynastic cylinder seals showing drinking through reed straws (archaeological record); beer and bread as the standard ration pair in Ur III lists
dates,Dates of the south,staple fruit and sweetener,ripe dates; pressed date syrup,eaten fresh and dried year-round; pressed for syrup as the land's sweetener; date-palm gardens shading the southern barley fields,A,southern Mesopotamian agricultural and administrative record: date-palm gardens in cuneiform land and harvest texts; date wine attested in the cuneiform corpus
river_fish_dried,Dried river fish,preserved food,river fish of the Tigris and the Euphrates and their lagoons; salt,split and dried in the sun; salted and smoked for keeping; carried inland from the southern lagoons; issued to workers as rations,A,cuneiform ration and offering lists (dried and salted fish as standard issues); fish bones in domestic middens of southern Mesopotamian sites (archaeological record)
onions_garlic_leeks,Onions; garlic and leeks,staple potherbs,onions; garlic; leeks,planted in gardens and field edges; issued to workers as rations; the base of the pot — pounded into stews and broths; raw with bread,A,cuneiform ration and garden texts (onions and garlic issued by the basket); attested crops of the Mesopotamian garden record
lentils_and_chickpeas,Lentils and chickpeas,staple legumes,lentils; chickpeas; dry peas,boiled into thick pottages and stews with onion and leek; roasted; issued as rations with barley and oil,A,cuneiform ration lists (legume issues alongside barley and oil); charred legume remains from Mesopotamian settlement sites (archaeological record)
dairy_butter_cheese,Butter and cheese,dairy staples,milk of cattle; sheep and goats; butter (clarified for keeping); cheese; sour milk,milk churned to butter and clarified for keeping; set and pressed into cheeses; sheep-run dairies supplying temple stores,A,Ur III and Old Babylonian dairy administration (butter and cheese accounts of the temple sheep economy)
sesame_oil,Sesame oil,cooking oil and unguent,sesame seed,seed pressed for oil; the ration-fat of the workers (the barley-beer-oil issue); burnt in lamps; used in cooking and unguents,A,cuneiform administrative corpus (sesame oil issues and accounts; Akkadian šamaššammu — the ancestor of the word sesame)
meat_stew_broths,Broths and stews,cooked dish,mutton or goat; onion; leek; garlic; beer; barley; sesame oil; salt,boiled into broths and stews in the clay kitchen; seasoned and finished with oil; the cuisine recorded in the Old Babylonian recipe tablets,A,Old Babylonian culinary recipe tablets (Yale Babylonian Collection; published by Jean Bottéro — broths and stews of the Old Babylonian kitchen)
mutton_feast,Mutton of feast and offering,feast meat,sheep; goats; cattle for the great feasts,the temple herds supply the altars; after the offering the meat is shared at the god's table and among priests and guests; great feasts mark festivals and oaths,A,Mesopotamian temple offering records (sacrificial sheep and goats; meat distributed to temple households); feast scenes in Mesopotamian art and texts
grain_ration_base,Grain — the base of the economy,economy staple and price anchor,barley grain,the economy's price model anchors on grain — base 2 silver grains at reference stock 100; harvest inflow and drought stages move the price per the ratified constants (retunable; shown to the player as authored),INVENTED,DECISIONS.md D-011 (ratified INVENTED economy constants); docs/game-design.md §9.1; the drought it simulates: notes L15;L104
drought_fare,Drought fare,famine flavor rule,coarse barley; dried fish; dates,in drought stages the ration degrades — thin barley loaves; the beer ration cut; fish and dates stretched — flavor glue per the content policy (shown to the player as authored),INVENTED,DECISIONS.md D-011 (drought-stage price anchors); D-012 (content policy); docs/game-design.md §9.1; the drought that breaks the world: notes L15;L104; wb §4.1
