id,source,file,anims,variant_of,tris,size_m
sheep,quaternius_farm,Sheep.fbx,Idle;Jump,,612,1.1
pig,quaternius_farm,Pig.fbx,Idle;Jump,,562,1.2
donkey,quaternius_animals,Donkey.gltf,Idle;Idle_2;Idle_Headlow;Walk;Gallop;Eating;Death,,2080,1.6
fox,quaternius_animals,Fox.gltf,Idle;Idle_2;Walk;Gallop;Eating;Death,,1928,0.9
husky,quaternius_animals,Husky.gltf,Idle;Idle_2;Walk;Gallop;Eating;Death,,2000,1.0
shiba,quaternius_animals,ShibaInu.gltf,Idle;Idle_2;Walk;Gallop;Eating;Death,,2030,0.8
cow,quaternius_animals,Cow.gltf,Idle;Idle_2;Idle_Headlow;Walk;Gallop;Eating;Death,,2530,2.0
bull,quaternius_animals,Bull.gltf,Idle;Idle_2;Idle_Headlow;Walk;Gallop;Eating;Death,,2498,2.1
deer,quaternius_animals,Deer.gltf,Idle;Walk;Gallop;Eating;Death,,2000,1.5
fat_tailed_sheep,variant,sheep,Idle;Jump,sheep,612,1.2
goat,variant,deer,Idle;Walk;Gallop;Eating;Death,deer,2000,1.1
zebu_cattle,variant,cow,Idle;Idle_2;Idle_Headlow;Walk;Gallop;Eating;Death,cow,2600,2.0
kunga,variant,donkey,Idle;Idle_2;Idle_Headlow;Walk;Gallop;Eating;Death,donkey,2080,1.8
mastiff_dog,variant,husky,Idle;Idle_2;Walk;Gallop;Eating;Death,husky,2000,1.1
saluki,variant,shiba,Idle;Idle_2;Walk;Gallop;Eating;Death,shiba,2030,1.0
jackal,variant,fox,Idle;Idle_2;Walk;Gallop;Eating;Death,fox,1928,1.0
cat,variant,fox,Idle;Idle_2;Walk;Gallop;Eating;Death,fox,1928,0.5
bird_goose,code,goose,flap,,300,0.8
bird_duck,code,duck,flap,,300,0.55
bird_dove,code,dove,flap,,300,0.3
bird_heron,code,heron,flap,,300,1.0
bird_flamingo,code,flamingo,flap,,300,1.2
bird_vulture,code,vulture,flap,,300,2.4
bird_crow,code,crow,flap,,300,0.45
bird_sparrow,code,sparrow,flap,,300,0.16
fish_carp,code,carp,,,200,0.5
